figure_number,figure_title,figure_type,data_source,model_dependency,status,png_path,pdf_path,paper_section
Fig 12C,Model Performance R2,Bar Chart,phase_15_model_comparison.csv,Model Evaluation,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_r2.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_r2.pdf,Results
Fig 12D,Model Performance MAPE,Bar Chart,phase_15_model_comparison.csv,Model Evaluation,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_mape.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_mape.pdf,Results
Fig 13,Actual vs Predicted,Scatter Plot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig13_actual_vs_predicted.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig13_actual_vs_predicted.pdf,Results
Fig 14A,Residual Distribution,Histogram,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_distribution.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_distribution.pdf,Residual Analysis
Fig 14B,Residual vs Predicted,Scatter Plot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_predicted.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_predicted.pdf,Residual Analysis
Fig 14C,Residual vs Actual,Scatter Plot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_actual.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_actual.pdf,Residual Analysis
Fig 14D,Residual vs Area,Scatter Plot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_area.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig14_residual_vs_area.pdf,Residual Analysis
Fig 15,SHAP Global Importance,Horizontal Bar,phase_16_top_features.csv,TreeExplainer SHAP,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig15_shap_summary.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig15_shap_summary.pdf,Explainability
Fig 16,SHAP Feature Group Importance,Bar Chart,phase_16_shap_feature_groups.csv,TreeExplainer SHAP,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig16_shap_feature_groups.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig16_shap_feature_groups.pdf,Explainability
Fig 17,City-wise Model Performance,Bar Chart,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig17_city_performance.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig17_city_performance.pdf,Results
Fig 18,Property Type Performance,Bar Chart,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig18_property_type_performance.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig18_property_type_performance.pdf,Results
Fig 19,Price Segment Performance,Bar Chart,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig19_price_segment_performance.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig19_price_segment_performance.pdf,Results
Fig 20,Generalization Across Splits,Bar Chart,phase_15_model_comparison.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig20_generalization.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig20_generalization.pdf,Results
Fig 21,Feature Group Coverage,Bar Chart,final_features_v4.csv,Data Layer,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig21_feature_group_coverage.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig21_feature_group_coverage.pdf,Dataset
Fig 22,Missingness Overview,Horizontal Bar,property_master_v11.csv,Data Audit,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig22_missingness.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig22_missingness.pdf,Dataset
Fig 23,Dataset Temporal Coverage,Line Plot,property_master_v11.csv,Splits Layer,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig23_temporal_coverage.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig23_temporal_coverage.pdf,Dataset
Fig 24,Geographic Coverage,Bar Chart,final_features_v4.csv,Data Layer,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig24_geographic_coverage.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig24_geographic_coverage.pdf,Dataset
Fig 25,Error Distribution by City,Boxplot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig25_city_error_distribution.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig25_city_error_distribution.pdf,Results
Fig 26,Error Distribution by Property Type,Boxplot,phase_15_final_predictions.csv,Optimized XGBoost,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig26_property_type_error.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig26_property_type_error.pdf,Results
Fig 27,Feature Importance vs SHAP,Dual Bar Chart,XGBoost Booster & SHAP,Explainability,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig27_importance_comparison.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig27_importance_comparison.pdf,Explainability
Fig 28,Future Experiment Manifest,Diagram,Future Roadmap,Pending Phases,PENDING,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig28_future_experiments_manifest.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig28_future_experiments_manifest.pdf,Future Work
