city,quarter,historical_quarter,hist_hpi_assessment,hist_hpi_market,hist_carpet_area_rate,hist_qoq_growth,hist_yoy_growth,hist_market_regime
Delhi,2020-Q4,2020-Q3,116.08,115.55,9748.09,-1.05,2.43,Stable
Delhi,2021-Q1,2020-Q4,118.02,117.8,9902.69,1.67,2.22,Stable
Delhi,2021-Q2,2021-Q1,120.49,120.51,10099.27,2.09,2.34,Stable
Delhi,2021-Q3,2021-Q2,121.98,122.06,10218.13,1.24,3.98,Stable
Delhi,2021-Q4,2021-Q3,125.75,125.67,10518.45,3.09,8.33,Growth
Delhi,2022-Q1,2021-Q4,129.32,129.03,10801.76,2.84,9.57,Growth
Delhi,2022-Q2,2022-Q1,133.2,133.18,11109.76,3.0,10.55,Growth
Delhi,2022-Q3,2022-Q2,136.75,136.95,11391.29,2.67,12.11,Growth
Delhi,2022-Q4,2022-Q3,139.82,140.58,11634.31,2.24,11.19,Growth
Delhi,2023-Q1,2022-Q4,143.88,144.62,11954.99,2.9,11.26,Growth
Delhi,2023-Q2,2023-Q1,145.67,146.29,12096.18,1.24,9.36,Growth
Delhi,2023-Q3,2023-Q2,148.87,149.51,12349.06,2.2,8.86,Growth
Delhi,2023-Q4,2023-Q3,152.79,153.84,12657.74,2.63,9.28,Growth
Delhi,2024-Q1,2023-Q4,156.22,157.82,12927.42,2.24,8.58,Growth
Delhi,2024-Q2,2024-Q1,158.81,160.36,13131.47,1.66,9.02,Growth
Delhi,2024-Q3,2024-Q2,161.03,162.9,13305.51,1.4,8.17,Growth
Delhi,2024-Q4,2024-Q3,164.42,166.75,13571.68,2.11,7.61,Growth
Delhi,2025-Q1,2024-Q4,167.04,169.23,13777.4,1.59,6.93,Growth
Delhi,2025-Q2,2025-Q1,169.9,171.88,14001.16,1.71,6.98,Growth
Delhi,2025-Q3,2025-Q2,172.5,174.52,14204.75,1.53,7.12,Growth
Delhi,2025-Q4,2025-Q3,175.05,177.08,14404.1,1.48,6.47,Growth
Delhi,2026-Q1,2025-Q4,178.46,180.78,14670.82,1.95,6.84,Growth
Hyderabad,2018-Q2,2018-Q1,103.0,102.1,4800.0,0.0,0.0,Declining
Hyderabad,2018-Q3,2018-Q2,104.61,103.76,4871.14,1.56,0.0,Declining
Hyderabad,2018-Q4,2018-Q3,105.59,104.79,4914.79,0.94,0.0,Declining
Hyderabad,2019-Q1,2018-Q4,107.5,107.03,4998.92,1.81,0.0,Declining
Hyderabad,2019-Q2,2019-Q1,108.92,108.67,5061.93,1.32,5.75,Growth
Hyderabad,2019-Q3,2019-Q2,110.65,110.5,5138.15,1.59,5.77,Growth
Hyderabad,2019-Q4,2019-Q3,112.75,112.53,5230.95,1.9,6.78,Growth
Hyderabad,2020-Q1,2019-Q4,115.19,115.17,5338.3,2.16,7.15,Growth
Hyderabad,2020-Q2,2020-Q1,117.44,117.57,5437.51,1.95,7.82,Growth
Hyderabad,2020-Q3,2020-Q2,116.71,117.24,5405.46,-0.62,5.48,Growth
Hyderabad,2020-Q4,2020-Q3,116.36,116.65,5389.72,-0.3,3.2,Stable
Hyderabad,2021-Q1,2020-Q4,118.83,119.29,5498.58,2.12,3.16,Stable
Hyderabad,2021-Q2,2021-Q1,120.97,121.31,5592.85,1.8,3.01,Stable
Hyderabad,2021-Q3,2021-Q2,123.26,124.31,5693.39,1.89,5.61,Growth
Hyderabad,2021-Q4,2021-Q3,127.12,128.6,5862.72,3.13,9.25,Growth
Hyderabad,2022-Q1,2021-Q4,131.15,132.81,6039.25,3.17,10.37,Growth
Hyderabad,2022-Q2,2022-Q1,135.57,137.38,6232.41,3.37,12.07,Growth
Hyderabad,2022-Q3,2022-Q2,139.67,141.78,6411.65,3.02,13.31,Growth
Hyderabad,2022-Q4,2022-Q3,144.53,147.12,6623.48,3.48,13.7,Growth
Hyderabad,2023-Q1,2022-Q4,149.9,153.03,6857.34,3.72,14.3,Growth
Hyderabad,2023-Q2,2023-Q1,152.01,155.71,6949.18,1.41,12.13,Growth
Hyderabad,2023-Q3,2023-Q2,154.12,157.85,7040.65,1.39,10.35,Growth
Hyderabad,2023-Q4,2023-Q3,157.57,161.9,7190.27,2.24,9.02,Growth
Hyderabad,2024-Q1,2023-Q4,161.02,166.19,7339.98,2.19,7.42,Growth
Hyderabad,2024-Q2,2024-Q1,163.31,168.07,7439.2,1.42,7.43,Growth
Hyderabad,2024-Q3,2024-Q2,165.98,171.34,7554.71,1.63,7.7,Growth
Hyderabad,2024-Q4,2024-Q3,169.13,174.89,7690.76,1.9,7.34,Growth
Hyderabad,2025-Q1,2024-Q4,172.23,178.09,7824.81,1.83,6.96,Growth
Hyderabad,2025-Q2,2025-Q1,175.46,181.72,7964.39,1.88,7.44,Growth
Hyderabad,2025-Q3,2025-Q2,178.09,184.3,8077.57,1.5,7.3,Growth
Hyderabad,2025-Q4,2025-Q3,180.8,187.22,8194.56,1.52,6.9,Growth
Hyderabad,2026-Q1,2025-Q4,183.86,190.52,8326.06,1.69,6.75,Growth
Kolkata,2018-Q2,2018-Q1,100.8,100.4,4200.0,0.0,0.0,Declining
Kolkata,2018-Q3,2018-Q2,103.0,103.02,4287.11,2.18,0.0,Declining
Kolkata,2018-Q4,2018-Q3,105.14,105.4,4371.67,2.08,0.0,Declining
Kolkata,2019-Q1,2018-Q4,107.74,108.19,4474.29,2.47,0.0,Declining
Kolkata,2019-Q2,2019-Q1,110.02,110.34,4564.26,2.12,9.15,Growth
Kolkata,2019-Q3,2019-Q2,111.99,112.52,4641.98,1.79,8.73,Growth
Kolkata,2019-Q4,2019-Q3,114.53,115.04,4742.15,2.27,8.93,Growth
Kolkata,2020-Q1,2019-Q4,116.38,117.31,4814.65,1.62,8.02,Growth
Kolkata,2020-Q2,2020-Q1,118.22,119.33,4887.02,1.58,7.45,Growth
Kolkata,2020-Q3,2020-Q2,117.01,117.96,4839.56,-1.02,4.48,Stable
Kolkata,2020-Q4,2020-Q3,115.73,116.66,4789.32,-1.09,1.05,Stable
Kolkata,2021-Q1,2020-Q4,118.42,119.05,4895.01,2.32,1.75,Stable
Kolkata,2021-Q2,2021-Q1,120.81,121.92,4989.04,2.02,2.19,Stable
Kolkata,2021-Q3,2021-Q2,122.54,123.31,5056.74,1.43,4.73,Stable
Kolkata,2021-Q4,2021-Q3,125.24,126.46,5162.5,2.2,8.22,Growth
Kolkata,2022-Q1,2021-Q4,129.56,131.24,5331.7,3.45,9.41,Growth
Kolkata,2022-Q2,2022-Q1,133.18,135.26,5473.5,2.79,10.24,Growth
Kolkata,2022-Q3,2022-Q2,137.38,139.57,5637.34,3.15,12.11,Growth
Kolkata,2022-Q4,2022-Q3,141.2,143.31,5786.15,2.78,12.74,Growth
Kolkata,2023-Q1,2022-Q4,145.25,147.29,5943.99,2.87,12.11,Growth
Kolkata,2023-Q2,2023-Q1,146.86,149.03,6006.61,1.11,10.27,Growth
Kolkata,2023-Q3,2023-Q2,148.3,150.95,6062.39,0.98,7.95,Growth
Kolkata,2023-Q4,2023-Q3,150.49,153.52,6147.37,1.48,6.58,Growth
Kolkata,2024-Q1,2023-Q4,152.49,155.51,6224.97,1.33,4.98,Stable
Kolkata,2024-Q2,2024-Q1,154.65,157.51,6308.91,1.42,5.3,Growth
Kolkata,2024-Q3,2024-Q2,157.16,159.19,6406.04,1.62,5.97,Growth
Kolkata,2024-Q4,2024-Q3,160.15,162.46,6521.9,1.9,6.42,Growth
Kolkata,2025-Q1,2024-Q4,162.17,164.67,6600.17,1.26,6.35,Growth
Kolkata,2025-Q2,2025-Q1,165.99,168.31,6747.58,2.36,7.33,Growth
Kolkata,2025-Q3,2025-Q2,167.86,170.56,6819.99,1.13,6.81,Growth
Kolkata,2025-Q4,2025-Q3,171.18,174.46,6947.98,1.98,6.89,Growth
Kolkata,2026-Q1,2025-Q4,174.28,177.73,7067.46,1.81,7.47,Growth
Mumbai,2018-Q2,2018-Q1,101.2,100.9,18500.0,0.0,0.0,Declining
Mumbai,2018-Q3,2018-Q2,103.11,102.81,18832.28,1.89,0.0,Declining
Mumbai,2018-Q4,2018-Q3,104.28,103.78,19034.92,1.13,0.0,Declining
Mumbai,2019-Q1,2018-Q4,106.3,106.23,19384.32,1.94,0.0,Declining
Mumbai,2019-Q2,2019-Q1,107.52,107.5,19596.18,1.15,6.25,Growth
Mumbai,2019-Q3,2019-Q2,109.03,108.98,19857.6,1.4,5.74,Growth
Mumbai,2019-Q4,2019-Q3,110.38,110.41,20091.21,1.24,5.85,Growth
Mumbai,2020-Q1,2019-Q4,112.28,112.61,20420.62,1.72,5.63,Growth
Mumbai,2020-Q2,2020-Q1,114.36,114.83,20779.72,1.85,6.36,Growth
Mumbai,2020-Q3,2020-Q2,114.36,114.96,20778.95,0.0,4.89,Stable
Mumbai,2020-Q4,2020-Q3,113.31,113.97,20597.46,-0.92,2.65,Stable
Mumbai,2021-Q1,2020-Q4,115.72,116.6,21014.56,2.13,3.06,Stable
Mumbai,2021-Q2,2021-Q1,117.87,118.58,21384.94,1.86,3.07,Stable
Mumbai,2021-Q3,2021-Q2,120.52,121.27,21841.45,2.25,5.39,Growth
Mumbai,2021-Q4,2021-Q3,123.78,124.5,22402.69,2.7,9.24,Growth
Mumbai,2022-Q1,2021-Q4,127.96,128.64,23121.49,3.38,10.58,Growth
Mumbai,2022-Q2,2022-Q1,132.29,133.19,23865.7,3.38,12.23,Growth
Mumbai,2022-Q3,2022-Q2,135.4,136.43,24397.92,2.35,12.35,Growth
Mumbai,2022-Q4,2022-Q3,139.5,140.53,25099.24,3.03,12.7,Growth
Mumbai,2023-Q1,2022-Q4,144.1,145.78,25885.58,3.3,12.61,Growth
Mumbai,2023-Q2,2023-Q1,146.85,148.82,26356.28,1.91,11.01,Growth
Mumbai,2023-Q3,2023-Q2,149.29,151.85,26772.43,1.66,10.26,Growth
Mumbai,2023-Q4,2023-Q3,151.72,154.76,27186.45,1.63,8.76,Growth
Mumbai,2024-Q1,2023-Q4,154.71,157.52,27693.9,1.97,7.36,Growth
Mumbai,2024-Q2,2024-Q1,157.61,160.48,28187.35,1.87,7.33,Growth
Mumbai,2024-Q3,2024-Q2,160.87,163.65,28741.8,2.07,7.76,Growth
Mumbai,2024-Q4,2024-Q3,164.14,167.05,29296.19,2.03,8.19,Growth
Mumbai,2025-Q1,2024-Q4,166.28,169.91,29660.31,1.3,7.48,Growth
Mumbai,2025-Q2,2025-Q1,169.23,172.84,30159.93,1.77,7.37,Growth
Mumbai,2025-Q3,2025-Q2,172.39,176.59,30694.35,1.87,7.16,Growth
Mumbai,2025-Q4,2025-Q3,175.84,180.39,31278.41,2.0,7.13,Growth
Mumbai,2026-Q1,2025-Q4,179.55,183.94,31905.5,2.11,7.98,Growth
Pune,2018-Q2,2018-Q1,101.0,100.5,5900.0,0.0,0.0,Declining
Pune,2018-Q3,2018-Q2,102.98,102.33,6009.77,1.96,0.0,Declining
Pune,2018-Q4,2018-Q3,104.83,104.21,6112.18,1.8,0.0,Declining
Pune,2019-Q1,2018-Q4,106.47,105.86,6203.25,1.56,0.0,Declining
Pune,2019-Q2,2019-Q1,108.58,108.13,6319.91,1.98,7.5,Growth
Pune,2019-Q3,2019-Q2,110.07,109.71,6402.27,1.37,6.88,Growth
Pune,2019-Q4,2019-Q3,111.75,111.17,6495.48,1.53,6.6,Growth
Pune,2020-Q1,2019-Q4,113.94,113.51,6616.22,1.96,7.02,Growth
Pune,2020-Q2,2020-Q1,115.76,115.22,6716.68,1.6,6.61,Growth
Pune,2020-Q3,2020-Q2,115.0,114.63,6674.51,-0.66,4.48,Stable
Pune,2020-Q4,2020-Q3,114.46,114.12,6645.23,-0.47,2.43,Stable
Pune,2021-Q1,2020-Q4,116.8,116.53,6774.01,2.04,2.51,Stable
Pune,2021-Q2,2021-Q1,119.05,119.07,6897.74,1.93,2.84,Stable
Pune,2021-Q3,2021-Q2,121.7,121.68,7044.02,2.23,5.83,Growth
Pune,2021-Q4,2021-Q3,124.91,124.88,7220.41,2.64,9.13,Growth
Pune,2022-Q1,2021-Q4,128.3,128.46,7406.77,2.71,9.85,Growth
Pune,2022-Q2,2022-Q1,132.42,133.01,7632.65,3.21,11.23,Growth
Pune,2022-Q3,2022-Q2,136.62,136.97,7862.6,3.17,12.26,Growth
Pune,2022-Q4,2022-Q3,140.92,141.75,8097.77,3.15,12.82,Growth
Pune,2023-Q1,2022-Q4,145.55,147.13,8350.27,3.29,13.45,Growth
Pune,2023-Q2,2023-Q1,148.9,150.56,8532.82,2.3,12.45,Growth
Pune,2023-Q3,2023-Q2,152.13,154.46,8708.49,2.17,11.35,Growth
Pune,2023-Q4,2023-Q3,155.02,157.27,8865.77,1.9,10.01,Growth
Pune,2024-Q1,2023-Q4,158.19,160.33,9038.02,2.04,8.68,Growth
Pune,2024-Q2,2024-Q1,160.9,163.6,9185.39,1.71,8.06,Growth
Pune,2024-Q3,2024-Q2,162.99,165.44,9298.4,1.3,7.14,Growth
Pune,2024-Q4,2024-Q3,165.83,168.45,9452.26,1.74,6.97,Growth
Pune,2025-Q1,2024-Q4,168.65,171.46,9605.35,1.7,6.61,Growth
Pune,2025-Q2,2025-Q1,171.85,174.84,9778.19,1.9,6.81,Growth
Pune,2025-Q3,2025-Q2,175.27,178.04,9962.92,1.99,7.53,Growth
Pune,2025-Q4,2025-Q3,178.59,181.93,10142.57,1.89,7.69,Growth
Pune,2026-Q1,2025-Q4,182.32,186.5,10343.73,2.09,8.11,Growth
