property_master_id,rera_id,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-1F07B7134CDF,RERA-TNR-49988432,Ongoing,38.0,59.0,64.4,22.0,11,0.455,0
PROP-5F64D028734D,,Unregistered,,,,,0,1.0,0
PROP-636AE83EBE9C,RERA-TNR-43913777,Ongoing,39.0,60.0,65.0,82.0,5,0.2,0
PROP-F85AE7CC9AF7,RERA-TNR-42778189,Ongoing,46.0,53.0,86.8,67.0,12,0.667,0
PROP-2F0F1F4E92C4,RERA-TNR-07795089,Ongoing,35.0,39.0,89.7,130.0,16,0.25,0
PROP-82561D58FD53,RERA-TNR-60053431,Ongoing,21.0,55.0,38.2,175.0,6,0.5,0
PROP-A2F6A99CC0CC,RERA-TNR-21772466,Completed,70.0,58.0,100.0,28.0,22,0.727,0
PROP-3E47A053C0FF,RERA-TNR-85316882,Ongoing,24.0,29.0,82.8,20.0,19,0.474,0
PROP-9A7387795A30,RERA-TNR-67324170,Completed,35.0,31.0,100.0,124.0,5,0.6,0
PROP-0C69AE26D913,RERA-TNR-57075515,Ongoing,13.0,59.0,22.0,239.0,17,0.412,0
PROP-1E0B226AD1CB,RERA-TNR-81630477,Ongoing,7.0,56.0,12.5,27.0,19,0.895,1
PROP-A259DD7FE9C8,RERA-TNR-52725408,Ongoing,10.0,32.0,31.2,46.0,15,0.533,0
PROP-0B30A0A0DBBD,RERA-TNR-55699219,Ongoing,49.0,53.0,92.5,97.0,18,0.5,0
PROP-4278AC95E337,,Unregistered,,,,,0,1.0,0
PROP-294660330DD1,RERA-TNR-28239342,Ongoing,40.0,50.0,80.0,128.0,10,0.5,0
PROP-CED436FA687B,RERA-TNR-41833522,Ongoing,24.0,33.0,72.7,197.0,18,0.556,0
PROP-5E6983336D58,RERA-TNR-60096569,Completed,39.0,39.0,100.0,54.0,21,0.952,3
PROP-149FFB2F26CA,RERA-TNR-02533471,Completed,52.0,24.0,100.0,65.0,18,0.556,0
PROP-484F5023E66A,RERA-TNR-89089162,Ongoing,12.0,58.0,20.7,93.0,4,0.25,0
PROP-2647D77E0F8D,RERA-TNR-02533471,Completed,64.0,24.0,100.0,65.0,20,0.75,0
PROP-AA9429C07967,RERA-TNR-23041627,Ongoing,13.0,30.0,43.3,70.0,63,0.254,0
PROP-F74B6364D62C,RERA-TNR-63575806,Ongoing,20.0,49.0,40.8,72.0,5,0.2,0
PROP-BDDD24EA360A,RERA-TNR-22978651,Completed,37.0,24.0,100.0,29.0,15,0.467,0
PROP-35665EC66C18,RERA-TNR-96261529,Completed,35.0,34.0,100.0,245.0,18,0.889,5
PROP-0D98C2E8D9E1,RERA-TNR-26837608,Ongoing,10.0,35.0,28.6,60.0,6,0.5,0
PROP-B6C61BC5B0C3,RERA-TNR-77250873,Ongoing,19.0,46.0,41.3,85.0,12,0.333,0
PROP-15C164A6E840,RERA-TNR-65834738,Ongoing,20.0,39.0,51.3,65.0,14,0.571,0
PROP-757C59EC7B31,RERA-TNR-84636067,Ongoing,9.0,56.0,16.1,288.0,14,0.571,0
PROP-3C25CCD7D2B4,RERA-TNR-31513972,Ongoing,38.0,43.0,88.4,63.0,21,0.619,1
PROP-3E587CC9CAB6,RERA-TNR-02533471,Completed,37.0,24.0,100.0,65.0,17,0.588,0
PROP-872F313098E2,RERA-TNR-94724405,Ongoing,23.0,41.0,56.1,74.0,6,0.333,0
PROP-DB780F7939B4,RERA-TNR-05530725,Ongoing,35.0,40.0,87.5,68.0,8,0.75,0
PROP-83A560ED903F,RERA-TNR-94724405,Ongoing,38.0,41.0,92.7,74.0,8,0.375,0
PROP-FBAE78BF23D2,RERA-TNR-55699219,Completed,73.0,53.0,100.0,97.0,21,0.667,2
PROP-B59553234E86,,Unregistered,,,,,0,1.0,0
PROP-B6CDFCD7A060,,Unregistered,,,,,0,1.0,0
PROP-C163C0D4CB89,,Unregistered,,,,,0,1.0,0
PROP-1992387BDC35,RERA-TNR-04902062,Ongoing,28.0,45.0,62.2,65.0,6,0.667,0
PROP-5A9449E11655,,Unregistered,,,,,0,1.0,0
PROP-94E563882B43,RERA-TNR-77532733,Ongoing,19.0,24.0,79.2,168.0,12,0.583,0
PROP-7943C1E25050,,Unregistered,,,,,0,1.0,0
PROP-9FB3F9DA0458,,Unregistered,,,,,0,1.0,0
PROP-457AD501CB4F,,Unregistered,,,,,0,1.0,0
PROP-DF0B5484FDE6,,Unregistered,,,,,0,1.0,0
PROP-17028BED9959,,Unregistered,,,,,0,1.0,0
PROP-0922FECA4B33,,Unregistered,,,,,0,1.0,0
PROP-2921F7C54237,,Unregistered,,,,,0,1.0,0
PROP-04ACBBC413FF,,Unregistered,,,,,0,1.0,0
PROP-AFDAE87C7154,RERA-TNR-23084444,Ongoing,51.0,53.0,96.2,51.0,21,0.762,3
PROP-064596C5790A,RERA-TNR-53876448,Ongoing,27.0,29.0,93.1,69.0,22,0.727,0
PROP-230BB0F69709,RERA-TNR-53274323,Ongoing,21.0,32.0,65.6,29.0,20,0.75,1
PROP-114A14ECCF64,,Unregistered,,,,,0,1.0,0
PROP-50558CB1DC5F,,Unregistered,,,,,0,1.0,0
PROP-6FA0CFE85AFF,RERA-TNR-16455060,Ongoing,14.0,53.0,26.4,57.0,12,0.5,0
PROP-6CB6B102556C,RERA-TNR-77948920,Ongoing,38.0,57.0,66.7,63.0,18,0.944,2
PROP-96DA711717E2,,Unregistered,,,,,0,1.0,0
PROP-0B4999D2EC4D,RERA-TNR-35579935,Ongoing,13.0,42.0,31.0,206.0,5,0.8,0
PROP-B890BC9B2271,,Unregistered,,,,,0,1.0,0
PROP-042367585D6E,,Unregistered,,,,,0,1.0,0
PROP-9F53A910A054,,Unregistered,,,,,0,1.0,0
PROP-F360C8E6C8CF,RERA-TNR-03275759,Ongoing,29.0,49.0,59.2,66.0,4,0.25,0
PROP-DDCFD68B4D1A,RERA-TNR-04614226,Ongoing,12.0,24.0,50.0,38.0,11,0.0,0
PROP-9CA24DB7A583,RERA-TNR-07816173,Ongoing,39.0,45.0,86.7,106.0,10,0.7,0
PROP-1D61D96EF60F,RERA-TNR-87207091,Ongoing,13.0,57.0,22.8,215.0,10,0.8,1
PROP-DF47A905796B,RERA-TNR-46252788,Completed,54.0,46.0,100.0,69.0,8,0.625,0
PROP-65A514317903,,Unregistered,,,,,0,1.0,0
PROP-A06E792E45F2,,Unregistered,,,,,0,1.0,0
PROP-815CBD9AED4B,RERA-TNR-06976604,Ongoing,22.0,59.0,37.3,23.0,20,0.75,1
PROP-2BDFAB712760,RERA-TNR-05779198,Ongoing,40.0,50.0,80.0,51.0,12,0.417,0
PROP-84DFA6EC15D4,,Unregistered,,,,,0,1.0,0
PROP-FB06D2E59F92,RERA-TNR-66512934,Ongoing,24.0,57.0,42.1,37.0,9,0.889,2
PROP-87A2F1F1F3E3,RERA-TNR-42885301,Ongoing,27.0,41.0,65.9,29.0,7,0.429,0
PROP-8BAACECCE52C,RERA-TNR-56743215,Ongoing,37.0,40.0,92.5,111.0,21,0.524,0
PROP-E655FD5552A3,,Unregistered,,,,,0,1.0,0
PROP-09D3A035CD7B,,Unregistered,,,,,0,1.0,0
PROP-D86C1F55C0AC,,Unregistered,,,,,0,1.0,0
PROP-4698EF9D9F8B,RERA-TNR-11200937,Ongoing,11.0,46.0,23.9,45.0,5,0.2,0
PROP-AB7AAC6B0331,,Unregistered,,,,,0,1.0,0
PROP-08AEF5A9D481,RERA-TNR-29269550,Ongoing,32.0,52.0,61.5,150.0,4,0.75,1
PROP-BAB6D9932EF7,,Unregistered,,,,,0,1.0,0
PROP-3A27D9D78AE5,RERA-TNR-21336382,Ongoing,8.0,57.0,14.0,65.0,28,0.321,0
PROP-FB1D8806ECA6,RERA-TNR-20715085,Ongoing,11.0,45.0,24.4,82.0,18,0.389,0
PROP-AEC56B927638,,Unregistered,,,,,0,1.0,0
PROP-7B89777A2523,RERA-TNR-07992451,Completed,33.0,25.0,100.0,178.0,13,0.385,0
PROP-031EACC72FAC,RERA-TNR-74117619,Ongoing,9.0,53.0,17.0,195.0,17,0.765,3
PROP-D8DCABCE8AE4,,Unregistered,,,,,0,1.0,0
PROP-BE5D19F0570A,,Unregistered,,,,,0,1.0,0
PROP-08200F346794,RERA-TNR-10870615,Ongoing,9.0,37.0,24.3,73.0,12,0.5,0
PROP-27FCD293E4E9,,Unregistered,,,,,0,1.0,0
PROP-76C47B6DA21A,RERA-TNR-62515183,Completed,67.0,53.0,100.0,70.0,10,0.7,0
PROP-ADA46D2531DF,RERA-TNR-44276513,Completed,39.0,35.0,100.0,191.0,15,0.267,0
PROP-B57AF3710DB2,RERA-TNR-71166606,Ongoing,24.0,29.0,82.8,182.0,21,0.667,2
PROP-158650B2A986,,Unregistered,,,,,0,1.0,0
PROP-0918BD82CE03,RERA-TNR-46678474,Ongoing,28.0,39.0,71.8,245.0,5,0.6,0
PROP-B75A9F04D7FE,RERA-TNR-77669653,Ongoing,35.0,41.0,85.4,48.0,19,0.526,0
PROP-299B104BBB36,,Unregistered,,,,,0,1.0,0
PROP-A46D4E0EB0B9,,Unregistered,,,,,0,1.0,0
PROP-F4F8FDE8DB7A,RERA-TNR-11714972,Ongoing,6.0,39.0,15.4,11.0,11,0.636,0
PROP-CCCF014B0C39,,Unregistered,,,,,0,1.0,0
PROP-2AFDF2EFBB05,RERA-TNR-35145558,Completed,28.0,27.0,100.0,186.0,4,1.0,0
PROP-F1B094D776AC,RERA-TNR-80667457,Ongoing,27.0,58.0,46.6,12.0,12,0.75,2
PROP-4A717AC26215,,Unregistered,,,,,0,1.0,0
PROP-6030BEE2AD7B,RERA-TNR-84781540,Completed,34.0,33.0,100.0,219.0,14,0.929,1
PROP-05DCF1E5D39D,RERA-TNR-62515183,Completed,64.0,53.0,100.0,70.0,10,0.7,0
PROP-C3F7B5D86C96,,Unregistered,,,,,0,1.0,0
PROP-5D26797CA7AF,RERA-TNR-34371070,Ongoing,8.0,33.0,24.2,117.0,12,0.333,0
PROP-0DCC61F3F26A,,Unregistered,,,,,0,1.0,0
PROP-A3C056BEF2B8,RERA-TNR-62515183,Completed,64.0,53.0,100.0,70.0,10,0.7,0
PROP-1BEDC9589A02,RERA-TNR-62515183,Ongoing,37.0,53.0,69.8,70.0,7,0.714,0
PROP-BF10230A4B7B,RERA-TNR-28654290,Ongoing,16.0,41.0,39.0,83.0,16,0.375,0
PROP-E4DBF903EF97,,Unregistered,,,,,0,1.0,0
PROP-15A9697D56CD,RERA-TNR-35292165,Ongoing,31.0,54.0,57.4,159.0,15,0.8,0
PROP-AE3E52E1B49E,,Unregistered,,,,,0,1.0,0
PROP-3030314EF96C,,Unregistered,,,,,0,1.0,0
PROP-D04249A2F8C6,,Unregistered,,,,,0,1.0,0
PROP-79CCEA7C1BB2,RERA-TNR-13458429,Ongoing,23.0,60.0,38.3,51.0,11,0.182,0
PROP-11EF6CB78C7B,,Unregistered,,,,,0,1.0,0
PROP-74D96523437F,,Unregistered,,,,,0,1.0,0
PROP-925A53CC1421,RERA-TNR-12636944,Ongoing,14.0,47.0,29.8,36.0,5,0.8,1
PROP-947825266908,,Unregistered,,,,,0,1.0,0
PROP-F561D909ECA5,,Unregistered,,,,,0,1.0,0
PROP-5FD4DDB5BEC6,RERA-TNR-40847400,Completed,71.0,26.0,100.0,78.0,12,0.917,1
PROP-D7B35E263CD6,,Unregistered,,,,,0,1.0,0
PROP-4208A13E74B2,RERA-TNR-74717661,Completed,55.0,46.0,100.0,241.0,66,0.258,0
PROP-7A9AC8BC5366,,Unregistered,,,,,0,1.0,0
PROP-FB49CD463A83,RERA-TNR-22809029,Completed,54.0,53.0,100.0,161.0,12,0.667,0
PROP-CE02F17A36DF,,Unregistered,,,,,0,1.0,0
PROP-4AD3C193438C,RERA-TNR-41754265,Ongoing,19.0,55.0,34.5,42.0,10,0.6,0
PROP-40E52907DC2C,RERA-TNR-20993984,Ongoing,30.0,52.0,57.7,134.0,11,0.727,2
PROP-91431ADFE5D2,,Unregistered,,,,,0,1.0,0
PROP-1F1504EB20E5,RERA-TNR-46565661,Ongoing,39.0,43.0,90.7,21.0,14,0.786,0
PROP-105312908C3A,,Unregistered,,,,,0,1.0,0
PROP-3370EB76062C,RERA-TNR-11314000,Ongoing,38.0,43.0,88.4,45.0,8,0.375,0
PROP-A327069852C8,RERA-TNR-88682329,Completed,35.0,29.0,100.0,64.0,23,0.826,0
PROP-8A03660F84A2,,Unregistered,,,,,0,1.0,0
PROP-41740A5B3569,,Unregistered,,,,,0,1.0,0
PROP-FB32AA5EB661,RERA-TNR-85841502,Ongoing,24.0,31.0,77.4,84.0,17,0.412,0
PROP-410A4C8E613B,RERA-TNR-60267813,Ongoing,27.0,31.0,87.1,80.0,13,0.692,1
PROP-FB7CC68BAA3F,,Unregistered,,,,,0,1.0,0
PROP-6A1A02FBF175,,Unregistered,,,,,0,1.0,0
PROP-0AB9190D8A3D,RERA-TNR-61895750,Completed,47.0,30.0,100.0,92.0,17,0.471,0
PROP-0EBACD081EFB,RERA-TNR-06675421,Ongoing,38.0,40.0,95.0,48.0,17,0.529,0
PROP-A21097418DB7,,Unregistered,,,,,0,1.0,0
PROP-1BB8DE053D92,,Unregistered,,,,,0,1.0,0
PROP-B76C38B11867,,Unregistered,,,,,0,1.0,0
PROP-6BD71451B2F3,RERA-TNR-76575297,Completed,51.0,43.0,100.0,102.0,10,1.0,3
PROP-B452F83417C1,RERA-TNR-45229647,Ongoing,13.0,43.0,30.2,67.0,10,0.6,0
PROP-7D0FFDDD8D96,,Unregistered,,,,,0,1.0,0
PROP-37B72CE4F891,RERA-TNR-48708670,Ongoing,40.0,52.0,76.9,183.0,11,0.455,0
PROP-7CC824B1D1D3,RERA-TNR-09718672,Ongoing,26.0,37.0,70.3,65.0,7,0.571,2
PROP-1D3C0C922DE5,RERA-TNR-73650272,Completed,83.0,31.0,100.0,114.0,20,0.75,1
PROP-E2C47E11E7C7,,Unregistered,,,,,0,1.0,0
PROP-49214D77DFEC,RERA-TNR-37657975,Completed,44.0,38.0,100.0,15.0,6,0.833,0
PROP-1A162571011D,,Unregistered,,,,,0,1.0,0
PROP-2A274543B798,RERA-TNR-76575297,Ongoing,39.0,43.0,90.7,102.0,10,0.7,1
PROP-1974DF9049EB,RERA-TNR-25320168,Ongoing,18.0,48.0,37.5,143.0,12,0.583,0
PROP-948558C91928,,Unregistered,,,,,0,1.0,0
PROP-E821A6FEA8EA,,Unregistered,,,,,0,1.0,0
PROP-09D18DF08D8C,,Unregistered,,,,,0,1.0,0
PROP-72DD0E6C2E04,RERA-TNR-40847400,Completed,74.0,26.0,100.0,78.0,12,1.0,2
PROP-4001297C5EA5,,Unregistered,,,,,0,1.0,0
PROP-49A76193B3D6,,Unregistered,,,,,0,1.0,0
PROP-D85BCCAEB8BF,,Unregistered,,,,,0,1.0,0
PROP-5A009B837A4A,,Unregistered,,,,,0,1.0,0
PROP-246D09705402,,Unregistered,,,,,0,1.0,0
PROP-022EACFD89A8,RERA-TNR-84515151,Ongoing,25.0,42.0,59.5,23.0,17,0.529,0
PROP-5C925E93D559,,Unregistered,,,,,0,1.0,0
PROP-58FB9D1E9130,RERA-TNR-36217441,Ongoing,49.0,56.0,87.5,79.0,15,0.6,0
PROP-44D81CA25AB0,,Unregistered,,,,,0,1.0,0
PROP-141CB64EBC7F,RERA-TNR-36217441,Ongoing,28.0,56.0,50.0,79.0,13,0.615,0
PROP-ADFAF9B14DBD,RERA-TNR-19079769,Ongoing,15.0,40.0,37.5,119.0,12,0.583,2
PROP-F228522B5582,,Unregistered,,,,,0,1.0,0
