property_master_id,latitude,longitude,spatial_match_source,accessibility_score,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,restaurants_distance_km,transit_stations_distance_km,highways_distance_km,airports_distance_km,main_roads_distance_km,schools_3km,hospitals_5km,parks_3km,restaurants_1km,transit_stations_3km
PROP-F4ACF6362C46,13.247849010526577,80.17202645141293,city_center_fallback,45.9,2.208,4.132,0.588,10.17,5.323,8.097,1.709,4.43,0.866,42.487,6.178,1,1,0,0,0
PROP-A7B4990CB17F,13.02300646385837,80.27019484891737,city_center_fallback,44.9,3.301,1.852,2.106,2.964,5.071,1.317,1.503,0.774,1.644,46.913,2.836,0,4,1,0,1
PROP-6A8F2CA5D4A7,13.269227064154899,80.2579986514664,city_center_fallback,25.5,3.657,4.883,4.163,12.296,8.486,1.503,2.649,0.894,7.124,32.884,4.574,0,1,1,0,2
PROP-3EF538C2BB00,13.293018719344795,80.08112589339463,city_center_fallback,11.3,7.121,10.429,10.802,20.21,7.479,18.126,5.619,14.986,3.308,51.277,11.912,0,0,0,0,0
PROP-106DAED671B6,13.087314477574838,80.08595065143106,city_center_fallback,28.2,2.682,2.674,5.269,11.341,4.094,4.088,0.462,4.053,11.834,57.946,3.517,1,2,0,1,0
PROP-D5F1834163A7,12.910005261985885,80.11588154060858,city_center_fallback,8.7,5.024,8.119,7.493,17.203,15.888,6.217,2.75,7.816,17.82,67.484,3.796,0,0,0,0,0
PROP-FDCB07611F18,13.119156389350257,80.31923108544203,city_center_fallback,38.7,1.604,3.772,3.497,6.013,3.483,2.438,0.988,0.717,3.666,35.458,5.702,1,3,1,0,3
PROP-A74166BFD422,13.13954631165087,80.3484827068331,city_center_fallback,45.0,2.502,1.256,2.121,7.489,1.545,4.11,2.442,1.148,4.201,31.618,4.897,1,5,0,0,3
PROP-48E47A79C626,12.937823686284247,80.37261319590418,city_center_fallback,33.5,1.813,0.746,9.858,12.832,9.662,9.532,6.434,1.338,9.171,49.105,4.249,1,1,0,0,2
PROP-EEA71AC853AB,13.219251789386737,80.03773843117284,city_center_fallback,12.2,7.731,5.998,6.894,18.729,5.437,16.074,5.938,13.58,8.531,57.359,7.012,0,0,0,0,0
PROP-51F742AC064B,13.00682715135886,80.38501323226538,city_center_fallback,16.0,6.732,3.66,7.234,8.938,9.676,3.34,0.958,5.248,8.818,41.566,1.612,0,2,0,1,0
PROP-C1CA5D2867CF,13.318007452636435,80.51305436046971,city_center_fallback,3.3,7.659,13.097,8.24,24.455,18.759,14.651,6.74,9.562,28.622,5.086,16.396,0,0,0,0,0
PROP-B129E7EC2D5F,13.300518041511783,80.02732559257672,city_center_fallback,7.0,11.374,15.06,6.603,25.214,10.534,23.15,9.631,19.37,4.499,56.991,15.131,0,0,0,0,0
PROP-B10588A6BCFE,12.944735930184413,80.23243586767369,city_center_fallback,28.5,2.135,3.855,3.619,4.461,6.307,5.698,0.817,4.452,7.645,56.243,2.113,1,4,0,1,0
PROP-562DA83E6F5E,12.914465788102827,80.32049301469166,city_center_fallback,18.6,4.75,3.517,5.708,9.321,6.516,4.735,4.366,6.46,13.857,53.886,8.708,0,1,0,0,0
PROP-C8ABEEADCA06,12.862497836300989,80.12717478358466,city_center_fallback,6.2,7.757,13.227,12.789,19.043,20.249,2.302,3.146,11.037,20.842,70.551,8.025,0,0,1,0,0
PROP-7AFEE3A48B25,13.296567305144837,80.51122427318948,city_center_fallback,5.7,5.68,12.365,6.741,22.073,17.475,12.469,4.356,10.628,26.98,6.834,15.761,0,0,0,0,0
PROP-163A7FCBF545,13.124379887872518,80.44085422013629,city_center_fallback,30.3,3.735,1.331,4.995,4.424,8.586,1.712,1.391,3.564,14.312,27.167,3.551,0,1,1,0,0
PROP-744E45540410,13.028470352328663,80.15544512890263,city_center_fallback,22.5,2.835,5.834,4.763,11.334,6.525,6.472,2.655,2.765,5.381,55.415,2.683,1,0,0,0,1
PROP-43FF1FEED483,13.069242531734787,80.15271288835905,city_center_fallback,36.9,1.394,4.848,3.094,7.179,5.053,2.351,2.18,2.949,4.335,52.906,1.86,2,1,1,0,1
PROP-61A1E2DA5AD5,13.050079499999999,80.2471525,secondary_lookup,43.6,1.108,2.135,4.909,4.732,3.168,3.764,1.643,1.357,2.291,46.41,2.893,1,1,0,0,2
PROP-5A879DF90FF0,12.957055886954011,80.19304427507721,city_center_fallback,33.8,3.368,3.802,0.927,7.532,7.725,3.741,2.913,4.191,8.163,57.942,5.534,0,2,0,0,0
PROP-20F9393C5B79,12.914197626829008,80.28974644462087,city_center_fallback,25.0,4.317,2.825,4.061,7.408,5.476,2.794,1.093,4.987,12.129,55.54,7.108,0,1,1,0,0
PROP-024DCA08FBB4,13.124379887872518,80.44085422013629,city_center_fallback,30.3,3.735,1.331,4.995,4.424,8.586,1.712,1.391,3.564,14.312,27.167,3.551,0,1,1,0,0
PROP-C0706AAC1468,12.86993259736582,80.51773783009217,city_center_fallback,21.2,2.207,13.065,7.95,26.163,3.327,15.939,8.733,10.834,6.114,52.773,6.69,1,0,0,0,0
PROP-75E290D9B4B1,12.97310503982459,80.3899369502411,city_center_fallback,21.4,6.147,1.45,10.966,12.66,9.507,6.889,2.85,2.278,6.928,44.76,3.478,0,1,0,0,1
PROP-3282AA5F382C,13.024768995990025,80.16426472364245,city_center_fallback,25.8,1.993,5.976,5.372,11.531,5.545,7.201,2.593,3.738,5.049,54.943,3.287,1,0,0,0,0
PROP-4DF17EEDA0FB,13.068805,80.24042,secondary_lookup,34.8,2.276,3.643,4.085,6.117,3.136,2.467,1.263,0.854,4.367,45.508,2.67,1,4,1,0,2
PROP-141C4C451E0C,13.025600079388195,80.15941840390212,city_center_fallback,24.2,2.324,5.761,5.336,11.542,6.073,6.915,2.695,3.292,5.308,55.286,3.056,1,0,0,0,0
PROP-C1E8167421C6,12.928755842617944,80.31621140429141,city_center_fallback,24.4,5.107,2.147,4.351,7.9,4.958,3.598,4.074,5.561,12.333,52.708,8.405,0,1,0,0,0
PROP-008213E4D941,13.318007452636435,80.51305436046971,city_center_fallback,3.3,7.659,13.097,8.24,24.455,18.759,14.651,6.74,9.562,28.622,5.086,16.396,0,0,0,0,0
PROP-07542049EDCD,13.304251824080856,80.34857701390241,city_center_fallback,12.6,6.072,5.017,7.682,21.017,8.267,4.345,8.182,7.057,15.32,22.456,3.279,0,0,0,0,0
PROP-113E49F70FEC,12.882234431971893,80.38206017869113,city_center_fallback,16.5,2.704,5.801,13.161,16.705,13.264,12.29,2.263,3.94,11.859,54.482,3.809,1,0,0,0,0
PROP-AD5970B8725C,13.321255891512005,80.4002420697225,city_center_fallback,13.7,9.421,4.443,3.04,25.727,10.715,5.808,8.535,5.099,21.197,16.623,5.819,0,1,0,0,0
PROP-20C1C3775C99,13.02106669602598,80.36287375873185,city_center_fallback,23.3,3.86,4.809,6.338,7.15,10.392,1.109,2.415,4.071,11.033,41.283,2.633,0,1,1,0,0
PROP-B27550B59EF2,13.035131242441896,80.37525219571614,city_center_fallback,25.9,4.678,3.06,4.359,6.03,11.548,1.117,2.276,6.05,11.61,39.261,4.002,0,2,1,0,0
PROP-A9AD15AE4F4B,13.107328157599083,80.42738102170294,city_center_fallback,24.7,2.954,3.474,3.877,4.482,7.789,3.639,1.015,2.088,13.456,29.517,1.16,1,1,0,0,1
PROP-968DCB86BB82,13.244251510786153,80.04865756812497,city_center_fallback,11.5,6.459,8.883,6.844,19.491,4.665,16.938,7.389,13.689,8.399,55.593,8.497,0,0,0,0,0
PROP-7E5D68FEA71F,13.087314477574838,80.08595065143106,city_center_fallback,28.2,2.682,2.674,5.269,11.341,4.094,4.088,0.462,4.053,11.834,57.946,3.517,1,2,0,1,0
PROP-44ED17888D48,13.092876235456748,80.30599445245204,city_center_fallback,35.0,3.546,1.498,5.424,3.715,2.683,2.641,1.12,2.875,4.804,38.547,5.186,0,1,1,0,2
PROP-81E153A834E7,13.087314477574838,80.08595065143106,city_center_fallback,28.2,2.682,2.674,5.269,11.341,4.094,4.088,0.462,4.053,11.834,57.946,3.517,1,2,0,1,0
PROP-A88B26A7F5A1,13.025600079388195,80.15941840390212,city_center_fallback,24.2,2.324,5.761,5.336,11.542,6.073,6.915,2.695,3.292,5.308,55.286,3.056,1,0,0,0,0
PROP-EE3AB12955E8,13.050419999999999,80.258421,secondary_lookup,41.6,2.325,1.909,3.869,3.556,2.345,3.575,0.499,1.186,1.705,45.523,3.047,1,2,0,1,3
PROP-67EBEA3AE062,12.882234431971893,80.38206017869113,city_center_fallback,16.5,2.704,5.801,13.161,16.705,13.264,12.29,2.263,3.94,11.859,54.482,3.809,1,0,0,0,0
PROP-BE92DFBC3E9C,13.124896830150638,80.2994338201786,city_center_fallback,54.9,0.667,3.18,2.126,3.925,2.041,1.128,1.445,1.21,3.215,36.586,3.61,1,1,1,0,2
PROP-E8F817173608,13.005373251260094,80.15362124525507,city_center_fallback,30.6,1.948,3.571,3.014,12.06,6.976,6.812,4.606,4.006,7.478,57.222,3.508,1,1,0,0,0
PROP-6B4235B84BF7,12.850280423717397,80.25439103045024,city_center_fallback,9.3,3.874,10.88,11.503,13.806,13.076,10.379,4.774,0.285,18.127,63.609,10.055,0,0,0,0,1
PROP-A435F5194B94,13.013855788763578,80.50274814761235,city_center_fallback,24.7,4.489,2.272,8.315,10.211,3.59,5.058,3.977,2.992,7.777,37.026,5.656,0,1,0,0,0
PROP-3FBB548884A3,13.038356499999999,80.253671,secondary_lookup,48.4,2.132,0.653,3.804,3.943,3.769,2.308,0.774,2.415,0.968,46.846,3.514,1,1,1,1,3
PROP-74E8BBDB1869,13.092876235456748,80.30599445245204,city_center_fallback,35.0,3.546,1.498,5.424,3.715,2.683,2.641,1.12,2.875,4.804,38.547,5.186,0,1,1,0,2
PROP-A28E9A937C8E,13.253533840569553,80.19443909535103,city_center_fallback,28.5,3.61,5.101,2.415,9.916,4.673,5.706,1.198,2.097,3.316,39.981,4.089,0,0,0,0,2
PROP-7745510EA9DC,13.124662212582942,80.31919061257659,city_center_fallback,40.6,1.473,3.688,2.939,6.042,3.705,2.619,1.26,0.975,3.071,35.033,5.728,1,3,2,0,3
PROP-8F4F97BE042E,13.050419999999999,80.258421,secondary_lookup,41.6,2.325,1.909,3.869,3.556,2.345,3.575,0.499,1.186,1.705,45.523,3.047,1,2,0,1,3
PROP-BF8C21590A2E,13.013855788763578,80.50274814761235,city_center_fallback,24.7,4.489,2.272,8.315,10.211,3.59,5.058,3.977,2.992,7.777,37.026,5.656,0,1,0,0,0
PROP-A21E0E395182,13.258457174134401,80.21313178436208,city_center_fallback,32.5,1.644,3.89,4.477,10.204,5.086,3.629,1.805,0.431,5.404,37.885,2.923,1,1,0,0,1
PROP-D623A5BD3259,13.263337994797938,80.10840321273616,city_center_fallback,20.4,3.227,6.001,6.99,15.797,4.725,15.094,6.73,10.632,6.236,48.84,9.923,0,0,0,0,0
PROP-BF8A99D156F1,12.903854701439457,80.21285740242762,city_center_fallback,11.5,4.506,8.248,5.542,9.368,10.444,7.215,1.807,1.421,12.525,61.143,7.1,0,0,0,0,1
PROP-3D8AAD5E73B5,12.862497836300989,80.12717478358466,city_center_fallback,6.2,7.757,13.227,12.789,19.043,20.249,2.302,3.146,11.037,20.842,70.551,8.025,0,0,1,0,0
PROP-0C0BFF42A42C,13.188689025147363,80.48138426939434,city_center_fallback,13.5,5.343,7.388,3.364,9.742,13.543,3.482,1.844,1.545,18.847,18.827,10.497,0,0,0,0,1
PROP-FF9962D2025D,13.080674902791097,80.03246531352339,city_center_fallback,13.8,6.329,6.757,10.36,17.037,3.283,3.495,6.281,2.167,17.403,63.391,2.926,0,0,0,0,1
PROP-74543CBC599C,13.099046310209184,80.34500902115042,city_center_fallback,35.4,0.873,3.287,5.689,5.23,4.772,5.481,2.203,0.649,6.842,35.226,4.784,3,1,0,0,1
PROP-4BF83DB33530,13.050079499999999,80.2471525,secondary_lookup,43.6,1.108,2.135,4.909,4.732,3.168,3.764,1.643,1.357,2.291,46.41,2.893,1,1,0,0,2
PROP-523A9B07D2A1,13.063187861832215,80.45614644533902,city_center_fallback,27.8,4.052,4.781,1.098,4.672,7.495,5.432,3.247,3.494,11.105,32.841,1.275,0,1,0,0,0
PROP-39540AD67FD6,12.898418452135434,80.19515921208203,city_center_fallback,11.8,3.786,9.242,5.988,10.999,12.334,6.325,3.242,3.039,13.7,62.789,6.994,0,0,0,0,0
PROP-42C7D4D34A9C,12.944735930184413,80.23243586767369,city_center_fallback,28.5,2.135,3.855,3.619,4.461,6.307,5.698,0.817,4.452,7.645,56.243,2.113,1,4,0,1,0
PROP-275C30FED99F,12.882234431971893,80.38206017869113,city_center_fallback,16.5,2.704,5.801,13.161,16.705,13.264,12.29,2.263,3.94,11.859,54.482,3.809,1,0,0,0,0
PROP-43929E420C2D,13.210690974923809,80.3163241488699,city_center_fallback,34.0,3.723,4.317,0.734,11.687,5.68,6.117,1.704,1.95,6.627,29.481,2.878,0,3,0,0,1
PROP-478099107B8F,13.147555520229869,80.13073369025193,city_center_fallback,36.6,1.643,1.851,3.0,6.05,6.93,3.37,2.749,4.067,11.653,50.546,2.273,1,1,0,0,0
PROP-5C52A446420D,12.867945232980631,80.49107168256127,city_center_fallback,13.4,4.294,14.892,10.278,26.019,4.917,15.214,6.091,7.999,5.959,53.274,6.49,0,0,0,0,0
PROP-01AA6022E0C7,13.01012740584303,80.27391454552894,city_center_fallback,39.5,2.86,3.178,1.924,3.892,5.398,1.848,2.191,2.101,3.099,47.755,3.931,1,4,1,0,2
PROP-D85BF3221525,12.921339710237435,80.15033455797683,city_center_fallback,16.2,3.391,6.973,5.818,13.289,13.325,2.827,3.216,6.877,14.22,63.996,1.642,0,0,1,0,0
PROP-8E14A48ADCC4,13.188689025147363,80.48138426939434,city_center_fallback,13.5,5.343,7.388,3.364,9.742,13.543,3.482,1.844,1.545,18.847,18.827,10.497,0,0,0,0,1
PROP-9AFAD3B06B47,13.063187861832215,80.45614644533902,city_center_fallback,27.8,4.052,4.781,1.098,4.672,7.495,5.432,3.247,3.494,11.105,32.841,1.275,0,1,0,0,0
PROP-DC7B2A38EA55,13.28205713101799,80.12307255776851,city_center_fallback,15.2,4.784,7.038,6.208,16.259,6.726,13.549,5.481,10.279,5.759,46.931,7.807,0,0,0,0,0
PROP-F04903424860,13.110836037805948,80.49707228951246,city_center_fallback,7.0,9.943,6.852,6.688,2.694,12.793,4.598,3.782,2.529,17.077,26.533,4.719,0,0,0,0,1
PROP-047960A2E5B3,13.258457174134401,80.21313178436208,city_center_fallback,32.5,1.644,3.89,4.477,10.204,5.086,3.629,1.805,0.431,5.404,37.885,2.923,1,1,0,0,1
PROP-1B747B844C95,12.903854701439457,80.21285740242762,city_center_fallback,11.5,4.506,8.248,5.542,9.368,10.444,7.215,1.807,1.421,12.525,61.143,7.1,0,0,0,0,1
PROP-776E72C4DDFE,13.037945417660538,80.46130180025176,city_center_fallback,33.5,1.19,5.727,3.362,7.188,4.642,2.778,1.372,2.774,8.341,35.355,1.851,1,0,1,0,1
PROP-59252CDA84BE,13.080674902791097,80.03246531352339,city_center_fallback,13.8,6.329,6.757,10.36,17.037,3.283,3.495,6.281,2.167,17.403,63.391,2.926,0,0,0,0,1
PROP-44645DA39395,13.087314477574838,80.08595065143106,city_center_fallback,28.2,2.682,2.674,5.269,11.341,4.094,4.088,0.462,4.053,11.834,57.946,3.517,1,2,0,1,0
PROP-CC96D0AE4690,13.103738374921365,80.3129205956771,city_center_fallback,36.9,2.469,2.3,4.822,4.905,2.735,2.12,1.05,1.659,5.288,37.157,5.311,1,1,1,0,2
PROP-F1844B7EE282,13.258457174134401,80.21313178436208,city_center_fallback,32.5,1.644,3.89,4.477,10.204,5.086,3.629,1.805,0.431,5.404,37.885,2.923,1,1,0,0,1
PROP-1532E4B7EE5D,13.128064112846564,80.3523351931503,city_center_fallback,48.9,1.731,0.104,3.222,6.249,1.609,4.999,1.56,2.206,5.11,32.264,5.097,1,5,0,0,2
PROP-B95CC1DB318E,13.1121514236781,80.08333420057726,city_center_fallback,17.9,4.172,4.633,4.623,10.857,6.868,6.611,2.661,4.391,13.046,56.891,2.841,0,1,0,0,0
PROP-E85EE1279880,13.01012740584303,80.27391454552894,city_center_fallback,39.5,2.86,3.178,1.924,3.892,5.398,1.848,2.191,2.101,3.099,47.755,3.931,1,4,1,0,2
PROP-54FB66193060,13.124896830150638,80.2994338201786,city_center_fallback,54.9,0.667,3.18,2.126,3.925,2.041,1.128,1.445,1.21,3.215,36.586,3.61,1,1,1,0,2
PROP-F4CBA1F89310,13.124379887872518,80.44085422013629,city_center_fallback,30.3,3.735,1.331,4.995,4.424,8.586,1.712,1.391,3.564,14.312,27.167,3.551,0,1,1,0,0
PROP-AE9FAB73B03E,12.97310503982459,80.3899369502411,city_center_fallback,21.4,6.147,1.45,10.966,12.66,9.507,6.889,2.85,2.278,6.928,44.76,3.478,0,1,0,0,1
PROP-95D9573608EF,13.00682715135886,80.38501323226538,city_center_fallback,16.0,6.732,3.66,7.234,8.938,9.676,3.34,0.958,5.248,8.818,41.566,1.612,0,2,0,1,0
PROP-38611A7D4A8F,13.080674902791097,80.03246531352339,city_center_fallback,13.8,6.329,6.757,10.36,17.037,3.283,3.495,6.281,2.167,17.403,63.391,2.926,0,0,0,0,1
PROP-D34256268534,13.103738374921365,80.3129205956771,city_center_fallback,36.9,2.469,2.3,4.822,4.905,2.735,2.12,1.05,1.659,5.288,37.157,5.311,1,1,1,0,2
PROP-278D25C5A9CF,13.188689025147363,80.48138426939434,city_center_fallback,13.5,5.343,7.388,3.364,9.742,13.543,3.482,1.844,1.545,18.847,18.827,10.497,0,0,0,0,1
PROP-B3F66E6E1218,13.300518041511783,80.02732559257672,city_center_fallback,7.0,11.374,15.06,6.603,25.214,10.534,23.15,9.631,19.37,4.499,56.991,15.131,0,0,0,0,0
PROP-42CCBB206E1D,13.024768995990025,80.16426472364245,city_center_fallback,25.8,1.993,5.976,5.372,11.531,5.545,7.201,2.593,3.738,5.049,54.943,3.287,1,0,0,0,0
PROP-114B555D61E3,13.300518041511783,80.02732559257672,city_center_fallback,7.0,11.374,15.06,6.603,25.214,10.534,23.15,9.631,19.37,4.499,56.991,15.131,0,0,0,0,0
PROP-3081FEFD587E,13.200212493857668,80.17591656915357,city_center_fallback,25.8,1.998,4.205,5.899,5.669,9.995,5.967,3.528,3.078,5.586,43.722,6.663,2,1,0,0,0
PROP-AC0D7FC22FA5,13.233244784490894,80.3229883171754,city_center_fallback,29.3,3.02,3.689,2.283,13.799,4.471,7.094,1.669,3.478,9.198,27.66,3.1,0,1,0,0,0
PROP-2783ED738E18,12.911547265801175,80.48352061856659,city_center_fallback,19.8,5.121,10.943,13.79,21.131,1.801,10.315,5.217,7.879,1.84,48.586,4.044,0,0,0,0,0
PROP-C63EC5BF7F6E,13.276890599570466,80.35604489253878,city_center_fallback,25.4,3.021,3.729,7.256,19.542,5.127,2.087,5.37,5.292,14.773,22.474,1.202,0,2,1,0,0
PROP-C8E03C400D54,13.110836037805948,80.49707228951246,city_center_fallback,7.0,9.943,6.852,6.688,2.694,12.793,4.598,3.782,2.529,17.077,26.533,4.719,0,0,0,0,1
PROP-63F47AE16D9B,13.269227064154899,80.2579986514664,city_center_fallback,25.5,3.657,4.883,4.163,12.296,8.486,1.503,2.649,0.894,7.124,32.884,4.574,0,1,1,0,2
PROP-F8E3ED1C784D,13.02106669602598,80.36287375873185,city_center_fallback,23.3,3.86,4.809,6.338,7.15,10.392,1.109,2.415,4.071,11.033,41.283,2.633,0,1,1,0,0
PROP-30E17D169E3B,13.051143,80.251006,secondary_lookup,42.4,1.539,2.077,4.594,4.352,2.78,3.757,1.304,1.471,2.114,46.03,3.291,1,1,0,0,2
PROP-902AA2B2D73C,12.884508232255634,80.49216052105116,city_center_fallback,17.9,3.537,13.541,11.141,24.192,3.45,13.463,5.683,8.015,4.116,51.432,5.54,0,0,0,0,0
PROP-6CDB5A05F81B,13.14613389466455,80.51170735804908,city_center_fallback,12.0,10.263,5.555,2.597,6.427,16.141,6.475,4.32,2.473,21.292,22.362,8.365,0,0,0,0,1
PROP-5121A05CEFD0,13.188689025147363,80.48138426939434,city_center_fallback,13.5,5.343,7.388,3.364,9.742,13.543,3.482,1.844,1.545,18.847,18.827,10.497,0,0,0,0,1
PROP-5E515C9892F8,13.050419999999999,80.258421,secondary_lookup,41.6,2.325,1.909,3.869,3.556,2.345,3.575,0.499,1.186,1.705,45.523,3.047,1,2,0,1,3
PROP-C194DFE317D3,12.911547265801175,80.48352061856659,city_center_fallback,19.8,5.121,10.943,13.79,21.131,1.801,10.315,5.217,7.879,1.84,48.586,4.044,0,0,0,0,0
PROP-86893D56053B,13.304251824080856,80.34857701390241,city_center_fallback,12.6,6.072,5.017,7.682,21.017,8.267,4.345,8.182,7.057,15.32,22.456,3.279,0,0,0,0,0
PROP-52B22AC0144C,13.327525815079627,80.03207053322102,city_center_fallback,7.0,9.77,16.873,9.325,26.71,12.779,23.642,9.045,21.227,3.687,56.303,17.241,0,0,0,0,0
PROP-DA9B29101D08,13.025600079388195,80.15941840390212,city_center_fallback,24.2,2.324,5.761,5.336,11.542,6.073,6.915,2.695,3.292,5.308,55.286,3.056,1,0,0,0,0
PROP-6383FF4A790A,13.042381183849242,80.18228531804652,city_center_fallback,33.7,0.951,6.587,6.318,9.403,4.185,6.731,1.384,3.134,2.351,52.188,3.274,2,0,0,0,0
PROP-D2B34E8F00C1,12.861854970595948,80.08949394222218,city_center_fallback,3.7,11.086,12.39,13.249,22.336,21.024,3.118,2.581,12.256,23.56,73.331,8.378,0,0,0,0,0
PROP-3A9741912D89,13.02106669602598,80.36287375873185,city_center_fallback,23.3,3.86,4.809,6.338,7.15,10.392,1.109,2.415,4.071,11.033,41.283,2.633,0,1,1,0,0
PROP-2818943A7CED,13.259040616375067,80.50505709802484,city_center_fallback,10.1,4.007,10.036,5.49,17.849,15.545,8.699,0.781,8.973,24.128,10.671,15.182,0,0,0,1,0
PROP-54BB992F2BC1,13.297740731556138,80.07815238299673,city_center_fallback,11.1,7.731,11.036,10.925,20.807,8.036,18.437,5.472,15.601,2.693,51.543,12.171,0,0,0,0,0
PROP-7A3F3AEDD544,13.063187861832215,80.45614644533902,city_center_fallback,27.8,4.052,4.781,1.098,4.672,7.495,5.432,3.247,3.494,11.105,32.841,1.275,0,1,0,0,0
PROP-45E581D1E971,12.914197626829008,80.28974644462087,city_center_fallback,25.0,4.317,2.825,4.061,7.408,5.476,2.794,1.093,4.987,12.129,55.54,7.108,0,1,1,0,0
PROP-888CCB46DED6,13.258457174134401,80.21313178436208,city_center_fallback,32.5,1.644,3.89,4.477,10.204,5.086,3.629,1.805,0.431,5.404,37.885,2.923,1,1,0,0,1
PROP-0C5AF6DCA391,13.174277643693452,80.1699759698915,city_center_fallback,21.7,2.431,5.484,7.77,4.988,7.575,4.114,4.264,1.589,8.346,45.439,5.563,1,0,0,0,1
PROP-2A83D9D4FC49,12.903854701439457,80.21285740242762,city_center_fallback,11.5,4.506,8.248,5.542,9.368,10.444,7.215,1.807,1.421,12.525,61.143,7.1,0,0,0,0,1
PROP-2E797152908C,13.012073139832607,80.13869953377957,city_center_fallback,23.7,3.564,3.496,3.929,13.624,6.685,6.298,3.53,3.822,7.951,57.974,4.004,0,2,0,0,0
PROP-B311B7A31695,13.035131242441896,80.37525219571614,city_center_fallback,25.9,4.678,3.06,4.359,6.03,11.548,1.117,2.276,6.05,11.61,39.261,4.002,0,2,1,0,0
PROP-D8A8E133A537,12.98303784163883,80.38089908477302,city_center_fallback,17.5,6.799,2.357,9.907,11.466,10.21,5.52,1.891,3.293,8.122,44.148,2.028,0,1,0,0,0
PROP-17AE9C55287D,13.247849010526577,80.17202645141293,city_center_fallback,45.9,2.208,4.132,0.588,10.17,5.323,8.097,1.709,4.43,0.866,42.487,6.178,1,1,0,0,0
PROP-C0504EA01382,13.080674902791097,80.03246531352339,city_center_fallback,13.8,6.329,6.757,10.36,17.037,3.283,3.495,6.281,2.167,17.403,63.391,2.926,0,0,0,0,1
PROP-51638FC7E69A,13.020466049008826,80.03173540598286,city_center_fallback,16.3,7.03,7.072,10.68,20.165,6.842,1.022,3.621,5.911,17.936,66.813,8.727,0,0,1,0,0
PROP-BFC344387222,12.914465788102827,80.32049301469166,city_center_fallback,18.6,4.75,3.517,5.708,9.321,6.516,4.735,4.366,6.46,13.857,53.886,8.708,0,1,0,0,0
PROP-44543A5CCDD6,12.944681118588024,80.17065684904325,city_center_fallback,33.0,2.014,5.868,2.531,10.254,9.969,1.047,0.41,6.002,10.827,60.596,3.406,1,0,1,2,0
PROP-FE64C4652902,12.944681118588024,80.17065684904325,city_center_fallback,33.0,2.014,5.868,2.531,10.254,9.969,1.047,0.41,6.002,10.827,60.596,3.406,1,0,1,2,0
PROP-E0527F2E5C79,13.056521996182406,80.11022070365793,city_center_fallback,46.0,2.029,2.487,1.727,11.068,2.111,1.405,2.575,1.033,8.864,57.501,4.754,1,3,1,0,1
PROP-B28B970D1C56,12.944681118588024,80.17065684904325,city_center_fallback,33.0,2.014,5.868,2.531,10.254,9.969,1.047,0.41,6.002,10.827,60.596,3.406,1,0,1,2,0
PROP-1F07B7134CDF,12.944681118588024,80.17065684904325,city_center_fallback,33.0,2.014,5.868,2.531,10.254,9.969,1.047,0.41,6.002,10.827,60.596,3.406,1,0,1,2,0
