property_master_id,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change
PROP-D8DCABCE8AE4,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-BE5D19F0570A,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-08200F346794,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-27FCD293E4E9,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-76C47B6DA21A,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-ADA46D2531DF,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-B57AF3710DB2,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-158650B2A986,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-0918BD82CE03,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-B75A9F04D7FE,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-299B104BBB36,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-A46D4E0EB0B9,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-F4F8FDE8DB7A,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-CCCF014B0C39,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-2AFDF2EFBB05,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-F1B094D776AC,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-4A717AC26215,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-6030BEE2AD7B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-05DCF1E5D39D,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-C3F7B5D86C96,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-5D26797CA7AF,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-0DCC61F3F26A,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-A3C056BEF2B8,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-1BEDC9589A02,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-BF10230A4B7B,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-E4DBF903EF97,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-15A9697D56CD,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-AE3E52E1B49E,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-3030314EF96C,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-D04249A2F8C6,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-79CCEA7C1BB2,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-11EF6CB78C7B,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-74D96523437F,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-925A53CC1421,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-947825266908,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-F561D909ECA5,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-5FD4DDB5BEC6,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-D7B35E263CD6,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-4208A13E74B2,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-7A9AC8BC5366,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-FB49CD463A83,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-CE02F17A36DF,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-4AD3C193438C,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-40E52907DC2C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-91431ADFE5D2,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-1F1504EB20E5,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-105312908C3A,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-3370EB76062C,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-A327069852C8,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-8A03660F84A2,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-41740A5B3569,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-FB32AA5EB661,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-410A4C8E613B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-FB7CC68BAA3F,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-6A1A02FBF175,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-0AB9190D8A3D,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-0EBACD081EFB,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-A21097418DB7,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-1BB8DE053D92,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-B76C38B11867,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-6BD71451B2F3,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-B452F83417C1,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-7D0FFDDD8D96,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-37B72CE4F891,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-7CC824B1D1D3,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-1D3C0C922DE5,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-E2C47E11E7C7,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-49214D77DFEC,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-1A162571011D,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-2A274543B798,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-1974DF9049EB,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-948558C91928,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-E821A6FEA8EA,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-09D18DF08D8C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-72DD0E6C2E04,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-4001297C5EA5,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-49A76193B3D6,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-D85BCCAEB8BF,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-5A009B837A4A,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-246D09705402,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-022EACFD89A8,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-5C925E93D559,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-58FB9D1E9130,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-44D81CA25AB0,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-141CB64EBC7F,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-ADFAF9B14DBD,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-F228522B5582,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-5C34C6B5BA9B,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-C2B718A46C91,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-41554050619B,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-E31301A0113C,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-3459DD56CE98,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-E21CED4A39D1,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-BF19C5A68D29,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-B2409FB1AEE8,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-E95676A3CF47,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-BD17F0375E10,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-2FE02E189AA9,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-4FE634D39E57,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-804AEC182443,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-15848142C958,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
