property_master_id,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,matched_station_name,matched_station_distance_km
PROP-8E14A48ADCC4,90,48,79,90,55.0,CPCB_MAA_Manali,24.18
PROP-9AFAD3B06B47,95,53,87,95,58.0,CPCB_MAA_Manali,23.814
PROP-DC7B2A38EA55,109,59,98,109,119.7,CPCB_MAA_Manali,20.097
PROP-F04903424860,122,63,104,122,119.0,CPCB_MAA_Manali,26.247
PROP-047960A2E5B3,37,21,34,37,64.7,CPCB_MAA_Manali,12.066
PROP-1B747B844C95,69,39,63,69,43.0,CPCB_MAA_Alandur,10.781
PROP-776E72C4DDFE,39,21,35,39,60.7,CPCB_MAA_Manali,25.681
PROP-59252CDA84BE,32,17,28,32,52.7,CPCB_MAA_Alandur,20.245
PROP-44645DA39395,61,33,54,61,65.0,CPCB_MAA_Alandur,15.713
PROP-CC96D0AE4690,90,48,79,90,55.7,CPCB_MAA_Manali,8.484
PROP-F1844B7EE282,35,20,33,35,64.3,CPCB_MAA_Manali,12.066
PROP-1532E4B7EE5D,109,59,98,109,113.0,CPCB_MAA_Manali,10.61
PROP-B95CC1DB318E,72,39,65,72,43.0,CPCB_MAA_Alandur,17.754
PROP-E85EE1279880,73,39,64,73,44.3,CPCB_MAA_Alandur,8.087
PROP-54FB66193060,90,48,79,90,55.7,CPCB_MAA_Manali,5.785
PROP-F4CBA1F89310,67,38,63,67,76.3,CPCB_MAA_Manali,19.98
PROP-AE9FAB73B03E,73,39,64,73,44.3,CPCB_MAA_Alandur,20.796
PROP-95D9573608EF,31,16,26,31,50.3,CPCB_MAA_Alandur,20.059
PROP-38611A7D4A8F,27,14,23,27,48.3,CPCB_MAA_Alandur,20.245
PROP-D34256268534,35,20,33,35,64.3,CPCB_MAA_Manali,8.484
PROP-278D25C5A9CF,72,38,62,72,74.7,CPCB_MAA_Manali,24.18
PROP-B3F66E6E1218,35,19,31,35,62.3,CPCB_MAA_Manali,29.639
PROP-42CCBB206E1D,69,39,63,69,43.0,CPCB_MAA_Alandur,4.751
PROP-114B555D61E3,122,63,104,122,119.0,CPCB_MAA_Manali,29.639
PROP-3081FEFD587E,117,64,106,117,118.3,CPCB_MAA_Manali,10.142
PROP-AC0D7FC22FA5,37,21,34,37,64.7,CPCB_MAA_Manali,10.622
PROP-2783ED738E18,29,15,25,29,51.7,CPCB_MAA_Alandur,32.259
PROP-C63EC5BF7F6E,41,23,38,41,62.0,CPCB_MAA_Manali,16.644
PROP-C8E03C400D54,35,20,33,35,64.3,CPCB_MAA_Manali,26.247
PROP-63F47AE16D9B,81,44,72,81,84.7,CPCB_MAA_Manali,12.147
PROP-F8E3ED1C784D,56,30,49,56,62.3,CPCB_MAA_Alandur,17.801
PROP-30E17D169E3B,66,36,59,66,41.3,CPCB_MAA_Alandur,7.929
PROP-902AA2B2D73C,29,15,25,29,51.7,CPCB_MAA_Alandur,34.167
PROP-6CDB5A05F81B,90,48,79,90,55.7,CPCB_MAA_Manali,27.298
PROP-5121A05CEFD0,109,59,98,109,113.0,CPCB_MAA_Manali,24.18
PROP-5E515C9892F8,56,30,49,56,62.3,CPCB_MAA_Alandur,8.455
PROP-C194DFE317D3,56,29,47,56,59.3,CPCB_MAA_Alandur,32.259
PROP-86893D56053B,41,23,38,41,62.0,CPCB_MAA_Manali,18.687
PROP-52B22AC0144C,39,21,35,39,60.7,CPCB_MAA_Manali,30.913
PROP-DA9B29101D08,102,53,88,102,102.3,CPCB_MAA_Alandur,5.238
PROP-6383FF4A790A,94,50,82,94,99.0,CPCB_MAA_Alandur,5.088
PROP-D2B34E8F00C1,71,39,64,71,43.0,CPCB_MAA_Alandur,19.478
PROP-3A9741912D89,90,49,80,90,96.7,CPCB_MAA_Alandur,17.801
PROP-2818943A7CED,109,59,98,109,119.7,CPCB_MAA_Manali,28.723
PROP-54BB992F2BC1,72,38,62,72,74.7,CPCB_MAA_Manali,24.941
PROP-7A3F3AEDD544,122,63,104,122,119.0,CPCB_MAA_Manali,23.814
PROP-45E581D1E971,102,53,88,102,102.3,CPCB_MAA_Alandur,13.624
PROP-888CCB46DED6,90,48,79,90,55.7,CPCB_MAA_Manali,12.066
PROP-0C5AF6DCA391,122,63,104,122,119.0,CPCB_MAA_Manali,9.875
PROP-2A83D9D4FC49,72,39,65,72,43.0,CPCB_MAA_Alandur,10.781
PROP-2E797152908C,61,33,54,61,65.0,CPCB_MAA_Alandur,6.776
PROP-B311B7A31695,81,46,75,81,83.7,CPCB_MAA_Manali,18.671
PROP-D8A8E133A537,73,39,64,73,44.3,CPCB_MAA_Alandur,19.691
PROP-17AE9C55287D,90,48,79,90,55.0,CPCB_MAA_Manali,13.643
PROP-C0504EA01382,97,51,84,97,94.7,CPCB_MAA_Alandur,20.245
PROP-51638FC7E69A,27,14,23,27,48.3,CPCB_MAA_Alandur,18.371
PROP-BFC344387222,71,39,64,71,43.0,CPCB_MAA_Alandur,16.154
PROP-44543A5CCDD6,90,49,80,90,96.7,CPCB_MAA_Alandur,6.924
PROP-FE64C4652902,66,36,59,66,41.3,CPCB_MAA_Alandur,6.924
PROP-E0527F2E5C79,72,39,65,72,43.0,CPCB_MAA_Alandur,11.58
PROP-B28B970D1C56,56,29,47,56,59.3,CPCB_MAA_Alandur,6.924
PROP-1F07B7134CDF,31,16,26,31,50.3,CPCB_MAA_Alandur,6.924
PROP-5F64D028734D,56,30,49,56,62.3,CPCB_MAA_Alandur,7.557
PROP-636AE83EBE9C,78,42,70,78,81.0,CPCB_MAA_Manali,7.859
PROP-F85AE7CC9AF7,102,53,88,102,102.3,CPCB_MAA_Alandur,8.024
PROP-2F0F1F4E92C4,81,45,74,81,50.3,CPCB_MAA_Manali,13.538
PROP-82561D58FD53,65,37,61,65,65.3,CPCB_MAA_Alandur,20.059
PROP-A2F6A99CC0CC,90,48,79,90,55.0,CPCB_MAA_Manali,23.814
PROP-3E47A053C0FF,39,21,35,39,60.7,CPCB_MAA_Manali,23.439
PROP-9A7387795A30,97,51,84,97,94.7,CPCB_MAA_Alandur,13.536
PROP-0C69AE26D913,81,46,75,81,83.7,CPCB_MAA_Manali,23.493
PROP-1E0B226AD1CB,35,19,31,35,62.3,CPCB_MAA_Manali,12.942
PROP-A259DD7FE9C8,32,17,28,32,52.7,CPCB_MAA_Alandur,6.924
PROP-0B30A0A0DBBD,39,21,35,39,60.7,CPCB_MAA_Manali,22.224
PROP-4278AC95E337,90,48,79,90,55.7,CPCB_MAA_Manali,22.224
PROP-294660330DD1,117,64,106,117,118.3,CPCB_MAA_Manali,13.109
PROP-CED436FA687B,69,39,63,69,43.0,CPCB_MAA_Alandur,14.584
PROP-5E6983336D58,66,36,59,66,41.3,CPCB_MAA_Alandur,10.033
PROP-149FFB2F26CA,95,53,87,95,58.0,CPCB_MAA_Manali,6.072
PROP-484F5023E66A,39,21,35,39,60.7,CPCB_MAA_Manali,12.591
PROP-2647D77E0F8D,90,48,79,90,55.7,CPCB_MAA_Manali,6.072
PROP-AA9429C07967,65,37,61,65,65.3,CPCB_MAA_Alandur,25.529
PROP-F74B6364D62C,81,46,75,81,83.7,CPCB_MAA_Manali,9.875
PROP-BDDD24EA360A,81,45,74,81,50.3,CPCB_MAA_Manali,3.143
PROP-35665EC66C18,56,29,47,56,59.3,CPCB_MAA_Alandur,6.924
PROP-0D98C2E8D9E1,71,39,64,71,43.0,CPCB_MAA_Alandur,7.211
PROP-B6C61BC5B0C3,31,16,26,31,50.3,CPCB_MAA_Alandur,24.726
PROP-15C164A6E840,95,53,87,95,58.0,CPCB_MAA_Manali,8.484
PROP-757C59EC7B31,69,39,63,69,43.0,CPCB_MAA_Alandur,18.19
PROP-3C25CCD7D2B4,109,59,98,109,113.0,CPCB_MAA_Manali,10.61
PROP-3E587CC9CAB6,32,17,28,32,52.7,CPCB_MAA_Alandur,8.087
PROP-872F313098E2,81,46,75,81,83.7,CPCB_MAA_Manali,31.146
PROP-DB780F7939B4,32,17,28,32,52.7,CPCB_MAA_Alandur,6.924
PROP-83A560ED903F,39,21,35,39,60.7,CPCB_MAA_Manali,31.146
PROP-FBAE78BF23D2,41,23,38,41,62.0,CPCB_MAA_Manali,22.224
PROP-B59553234E86,122,63,104,122,119.0,CPCB_MAA_Manali,25.164
PROP-B6CDFCD7A060,35,19,31,35,62.3,CPCB_MAA_Manali,26.377
PROP-C163C0D4CB89,90,48,79,90,55.7,CPCB_MAA_Manali,17.205
PROP-1992387BDC35,57,31,50,57,59.7,CPCB_MAA_Alandur,17.206
PROP-5A9449E11655,97,51,84,97,94.7,CPCB_MAA_Alandur,17.661
PROP-94E563882B43,109,59,98,109,113.0,CPCB_MAA_Manali,10.622
PROP-7943C1E25050,39,21,35,39,60.7,CPCB_MAA_Manali,12.066
PROP-9FB3F9DA0458,57,31,50,57,59.7,CPCB_MAA_Alandur,7.929
PROP-457AD501CB4F,66,36,59,66,41.3,CPCB_MAA_Alandur,7.929
PROP-DF0B5484FDE6,65,37,61,65,65.3,CPCB_MAA_Alandur,9.248
PROP-17028BED9959,56,30,49,56,62.3,CPCB_MAA_Alandur,9.031
PROP-0922FECA4B33,117,64,106,117,118.3,CPCB_MAA_Manali,23.814
PROP-2921F7C54237,102,53,88,102,102.3,CPCB_MAA_Alandur,6.776
PROP-04ACBBC413FF,31,16,26,31,50.3,CPCB_MAA_Alandur,7.557
PROP-AFDAE87C7154,29,15,25,29,52.0,CPCB_MAA_Alandur,19.478
PROP-064596C5790A,90,48,79,90,55.0,CPCB_MAA_Manali,3.143
PROP-230BB0F69709,35,19,31,35,62.3,CPCB_MAA_Manali,9.602
PROP-114A14ECCF64,94,50,82,94,99.0,CPCB_MAA_Alandur,20.059
PROP-50558CB1DC5F,90,48,79,90,55.0,CPCB_MAA_Manali,25.681
PROP-6FA0CFE85AFF,81,45,74,81,50.3,CPCB_MAA_Manali,12.066
PROP-6CB6B102556C,56,29,47,56,59.3,CPCB_MAA_Alandur,10.27
PROP-96DA711717E2,90,51,85,90,54.3,CPCB_MAA_Manali,23.814
PROP-0B4999D2EC4D,35,19,31,35,62.3,CPCB_MAA_Manali,28.723
PROP-B890BC9B2271,29,15,25,29,51.7,CPCB_MAA_Alandur,15.713
PROP-042367585D6E,95,53,87,95,58.0,CPCB_MAA_Manali,20.097
PROP-9F53A910A054,32,17,28,32,52.7,CPCB_MAA_Alandur,9.031
PROP-F360C8E6C8CF,56,30,49,56,62.3,CPCB_MAA_Alandur,10.27
PROP-DDCFD68B4D1A,37,21,34,37,64.7,CPCB_MAA_Manali,9.602
PROP-9CA24DB7A583,61,33,54,61,65.0,CPCB_MAA_Alandur,17.754
PROP-1D61D96EF60F,35,19,31,35,62.3,CPCB_MAA_Manali,23.814
PROP-DF47A905796B,81,44,72,81,84.7,CPCB_MAA_Manali,9.602
PROP-65A514317903,29,15,25,29,51.7,CPCB_MAA_Alandur,10.781
PROP-A06E792E45F2,90,48,79,90,55.0,CPCB_MAA_Manali,23.814
PROP-815CBD9AED4B,56,29,47,56,59.3,CPCB_MAA_Alandur,19.478
PROP-2BDFAB712760,81,45,74,81,50.3,CPCB_MAA_Manali,29.639
PROP-84DFA6EC15D4,81,46,75,81,83.7,CPCB_MAA_Manali,18.404
PROP-FB06D2E59F92,35,19,31,35,62.3,CPCB_MAA_Manali,12.147
PROP-87A2F1F1F3E3,31,16,26,31,50.3,CPCB_MAA_Alandur,10.781
PROP-8BAACECCE52C,27,14,23,27,48.3,CPCB_MAA_Alandur,10.033
PROP-E655FD5552A3,81,44,72,81,84.7,CPCB_MAA_Manali,13.538
PROP-09D3A035CD7B,69,39,63,69,43.0,CPCB_MAA_Alandur,17.754
PROP-D86C1F55C0AC,95,53,87,95,58.0,CPCB_MAA_Manali,10.61
PROP-4698EF9D9F8B,39,21,35,39,60.7,CPCB_MAA_Manali,23.814
PROP-AB7AAC6B0331,27,14,23,27,48.3,CPCB_MAA_Alandur,16.536
PROP-08AEF5A9D481,81,44,72,81,84.7,CPCB_MAA_Manali,8.484
PROP-BAB6D9932EF7,117,64,106,117,118.3,CPCB_MAA_Manali,18.671
PROP-3A27D9D78AE5,78,42,70,78,81.0,CPCB_MAA_Manali,26.377
PROP-FB1D8806ECA6,109,59,98,109,113.0,CPCB_MAA_Manali,12.066
PROP-AEC56B927638,90,51,85,90,54.3,CPCB_MAA_Manali,10.622
PROP-7B89777A2523,94,50,82,94,99.0,CPCB_MAA_Alandur,10.27
PROP-031EACC72FAC,90,51,85,90,54.3,CPCB_MAA_Manali,23.814
PROP-D8DCABCE8AE4,35,19,31,35,62.3,CPCB_MAA_Manali,23.814
PROP-BE5D19F0570A,32,17,28,32,52.7,CPCB_MAA_Alandur,11.308
PROP-08200F346794,71,39,64,71,43.0,CPCB_MAA_Alandur,12.097
PROP-27FCD293E4E9,72,39,65,72,43.0,CPCB_MAA_Alandur,12.412
PROP-76C47B6DA21A,109,59,98,109,113.0,CPCB_MAA_Manali,18.404
PROP-ADA46D2531DF,81,46,75,81,83.7,CPCB_MAA_Manali,18.404
PROP-B57AF3710DB2,41,23,38,41,62.0,CPCB_MAA_Manali,5.785
PROP-158650B2A986,73,39,64,73,44.3,CPCB_MAA_Alandur,12.412
PROP-0918BD82CE03,65,37,61,65,65.3,CPCB_MAA_Alandur,34.167
PROP-B75A9F04D7FE,90,48,79,90,55.7,CPCB_MAA_Manali,29.062
PROP-299B104BBB36,61,33,54,61,65.0,CPCB_MAA_Alandur,13.536
PROP-A46D4E0EB0B9,66,36,59,66,41.3,CPCB_MAA_Alandur,14.7
PROP-F4F8FDE8DB7A,81,46,75,81,83.7,CPCB_MAA_Manali,11.863
PROP-CCCF014B0C39,56,29,47,56,59.3,CPCB_MAA_Alandur,8.691
PROP-2AFDF2EFBB05,57,31,50,57,59.7,CPCB_MAA_Alandur,13.439
PROP-F1B094D776AC,29,15,25,29,51.7,CPCB_MAA_Alandur,5.088
PROP-4A717AC26215,29,15,25,29,51.7,CPCB_MAA_Alandur,15.713
PROP-6030BEE2AD7B,73,39,64,73,44.3,CPCB_MAA_Alandur,19.478
PROP-05DCF1E5D39D,90,48,79,90,55.7,CPCB_MAA_Manali,18.404
PROP-C3F7B5D86C96,35,19,31,35,62.3,CPCB_MAA_Manali,24.948
PROP-5D26797CA7AF,56,30,49,56,62.3,CPCB_MAA_Alandur,8.455
PROP-0DCC61F3F26A,78,42,70,78,81.0,CPCB_MAA_Manali,24.365
PROP-A3C056BEF2B8,90,48,79,90,55.7,CPCB_MAA_Manali,18.404
PROP-1BEDC9589A02,37,21,34,37,64.7,CPCB_MAA_Manali,18.404
PROP-BF10230A4B7B,27,14,23,27,48.3,CPCB_MAA_Alandur,4.751
PROP-E4DBF903EF97,81,46,75,81,83.7,CPCB_MAA_Manali,19.503
PROP-15A9697D56CD,61,33,54,61,65.0,CPCB_MAA_Alandur,20.059
PROP-AE3E52E1B49E,122,63,104,122,119.0,CPCB_MAA_Manali,22.629
PROP-3030314EF96C,95,53,87,95,58.0,CPCB_MAA_Manali,22.629
PROP-D04249A2F8C6,35,19,31,35,62.3,CPCB_MAA_Manali,11.431
PROP-79CCEA7C1BB2,31,16,26,31,50.3,CPCB_MAA_Alandur,19.478
PROP-11EF6CB78C7B,122,63,104,122,119.0,CPCB_MAA_Manali,25.129
PROP-74D96523437F,78,42,70,78,81.0,CPCB_MAA_Manali,10.142
PROP-925A53CC1421,66,36,59,66,41.3,CPCB_MAA_Alandur,34.167
PROP-947825266908,27,14,23,27,48.3,CPCB_MAA_Alandur,6.776
PROP-F561D909ECA5,94,50,82,94,99.0,CPCB_MAA_Alandur,17.754
PROP-5FD4DDB5BEC6,81,44,72,81,84.7,CPCB_MAA_Manali,25.681
PROP-D7B35E263CD6,81,45,74,81,50.3,CPCB_MAA_Manali,6.678
PROP-4208A13E74B2,27,14,23,27,48.3,CPCB_MAA_Alandur,14.206
PROP-7A9AC8BC5366,35,20,33,35,64.3,CPCB_MAA_Manali,18.448
PROP-FB49CD463A83,102,53,88,102,102.3,CPCB_MAA_Alandur,10.781
PROP-CE02F17A36DF,78,42,70,78,81.0,CPCB_MAA_Manali,5.785
PROP-4AD3C193438C,57,31,50,57,59.7,CPCB_MAA_Alandur,18.19
PROP-40E52907DC2C,97,51,84,97,94.7,CPCB_MAA_Alandur,9.031
PROP-91431ADFE5D2,65,37,61,65,65.3,CPCB_MAA_Alandur,35.799
PROP-1F1504EB20E5,72,38,62,72,74.7,CPCB_MAA_Manali,31.146
PROP-105312908C3A,109,59,98,109,119.7,CPCB_MAA_Manali,24.18
PROP-3370EB76062C,81,45,74,81,50.3,CPCB_MAA_Manali,3.143
PROP-A327069852C8,66,36,59,66,41.3,CPCB_MAA_Alandur,19.313
PROP-8A03660F84A2,57,31,50,57,59.7,CPCB_MAA_Alandur,4.834
PROP-41740A5B3569,29,15,25,29,51.7,CPCB_MAA_Alandur,5.206
PROP-FB32AA5EB661,65,37,61,65,65.3,CPCB_MAA_Alandur,13.95
PROP-410A4C8E613B,109,59,98,109,119.7,CPCB_MAA_Manali,18.404
PROP-FB7CC68BAA3F,117,64,106,117,118.3,CPCB_MAA_Manali,18.671
PROP-6A1A02FBF175,72,38,62,72,74.7,CPCB_MAA_Manali,32.541
PROP-0AB9190D8A3D,71,39,64,71,43.0,CPCB_MAA_Alandur,5.206
PROP-0EBACD081EFB,65,37,61,65,65.3,CPCB_MAA_Alandur,19.941
PROP-A21097418DB7,102,53,88,102,102.3,CPCB_MAA_Alandur,14.584
PROP-1BB8DE053D92,122,63,104,122,119.0,CPCB_MAA_Manali,10.61
PROP-B76C38B11867,39,21,35,39,60.7,CPCB_MAA_Manali,18.671
PROP-6BD71451B2F3,81,44,72,81,84.7,CPCB_MAA_Manali,15.342
PROP-B452F83417C1,97,51,84,97,94.7,CPCB_MAA_Alandur,2.392
PROP-7D0FFDDD8D96,61,33,54,61,65.0,CPCB_MAA_Alandur,17.206
PROP-37B72CE4F891,94,50,82,94,99.0,CPCB_MAA_Alandur,17.206
PROP-7CC824B1D1D3,109,59,98,109,119.7,CPCB_MAA_Manali,21.417
PROP-1D3C0C922DE5,35,19,31,35,62.3,CPCB_MAA_Manali,29.639
PROP-E2C47E11E7C7,78,42,70,78,81.0,CPCB_MAA_Manali,23.439
PROP-49214D77DFEC,29,15,25,29,52.0,CPCB_MAA_Alandur,23.693
PROP-1A162571011D,67,38,63,67,76.3,CPCB_MAA_Manali,12.147
PROP-2A274543B798,67,38,63,67,76.3,CPCB_MAA_Manali,15.342
PROP-1974DF9049EB,65,37,61,65,65.3,CPCB_MAA_Alandur,20.796
PROP-948558C91928,39,21,35,39,60.7,CPCB_MAA_Manali,6.072
PROP-E821A6FEA8EA,56,30,49,56,62.3,CPCB_MAA_Alandur,11.58
PROP-09D18DF08D8C,29,15,25,29,51.7,CPCB_MAA_Alandur,13.439
PROP-72DD0E6C2E04,35,19,31,35,62.3,CPCB_MAA_Manali,25.681
PROP-4001297C5EA5,35,20,33,35,64.3,CPCB_MAA_Manali,19.503
PROP-49A76193B3D6,81,45,74,81,50.3,CPCB_MAA_Manali,10.622
PROP-D85BCCAEB8BF,90,49,80,90,96.7,CPCB_MAA_Alandur,20.245
PROP-5A009B837A4A,31,16,26,31,50.3,CPCB_MAA_Alandur,10.27
PROP-246D09705402,81,46,75,81,83.7,CPCB_MAA_Manali,5.785
PROP-022EACFD89A8,72,38,62,72,74.7,CPCB_MAA_Manali,32.541
PROP-5C925E93D559,35,20,33,35,64.3,CPCB_MAA_Manali,21.138
PROP-58FB9D1E9130,102,53,88,102,102.3,CPCB_MAA_Alandur,17.801
PROP-44D81CA25AB0,57,31,50,57,59.7,CPCB_MAA_Alandur,24.726
PROP-141CB64EBC7F,57,31,50,57,59.7,CPCB_MAA_Alandur,17.801
PROP-ADFAF9B14DBD,109,59,98,109,113.0,CPCB_MAA_Manali,26.377
PROP-F228522B5582,41,23,38,41,62.0,CPCB_MAA_Manali,28.723
PROP-5C34C6B5BA9B,71,39,64,71,43.0,CPCB_MAA_Alandur,15.713
PROP-C2B718A46C91,56,30,49,56,62.3,CPCB_MAA_Alandur,15.713
PROP-41554050619B,66,36,59,66,41.3,CPCB_MAA_Alandur,13.439
PROP-E31301A0113C,117,64,106,117,118.3,CPCB_MAA_Manali,12.066
PROP-3459DD56CE98,90,49,80,90,96.7,CPCB_MAA_Alandur,13.536
PROP-E21CED4A39D1,81,45,74,81,50.3,CPCB_MAA_Manali,27.298
PROP-BF19C5A68D29,31,16,26,31,50.3,CPCB_MAA_Alandur,8.024
PROP-B2409FB1AEE8,72,39,65,72,43.0,CPCB_MAA_Alandur,16.154
PROP-E95676A3CF47,90,49,80,90,96.7,CPCB_MAA_Alandur,13.536
