property_master_id,rera_id,rera_registered,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-523A9B07D2A1,RERA-TNR-75317459,1,Ongoing,13.0,60.0,21.7,76.0,6,0.667,0
PROP-39540AD67FD6,,0,Unregistered,,,,,0,1.0,0
PROP-42C7D4D34A9C,RERA-TNR-05055958,1,Ongoing,32.0,53.0,60.4,202.0,9,0.667,0
PROP-275C30FED99F,,0,Unregistered,,,,,0,1.0,0
PROP-43929E420C2D,,0,Unregistered,,,,,0,1.0,0
PROP-478099107B8F,RERA-TNR-48605930,1,Completed,49.0,40.0,100.0,108.0,6,0.333,0
PROP-5C52A446420D,,0,Unregistered,,,,,0,1.0,0
PROP-01AA6022E0C7,RERA-TNR-32282619,1,Ongoing,33.0,51.0,64.7,83.0,13,0.923,1
PROP-D85BF3221525,RERA-TNR-77948920,1,Ongoing,26.0,57.0,45.6,63.0,18,0.722,0
PROP-8E14A48ADCC4,,0,Unregistered,,,,,0,1.0,0
PROP-9AFAD3B06B47,RERA-TNR-06369403,1,Ongoing,9.0,55.0,16.4,118.0,15,0.667,0
PROP-DC7B2A38EA55,RERA-TNR-82614474,1,Completed,36.0,28.0,100.0,28.0,13,0.846,1
PROP-F04903424860,,0,Unregistered,,,,,0,1.0,0
PROP-047960A2E5B3,RERA-TNR-90624411,1,Ongoing,21.0,50.0,42.0,129.0,5,0.2,0
PROP-1B747B844C95,,0,Unregistered,,,,,0,1.0,0
PROP-776E72C4DDFE,RERA-TNR-40847400,1,Completed,38.0,26.0,100.0,78.0,12,0.583,0
PROP-59252CDA84BE,RERA-TNR-24210278,1,Ongoing,16.0,52.0,30.8,153.0,17,0.471,0
PROP-44645DA39395,,0,Unregistered,,,,,0,1.0,0
PROP-CC96D0AE4690,,0,Unregistered,,,,,0,1.0,0
PROP-F1844B7EE282,,0,Unregistered,,,,,0,1.0,0
PROP-1532E4B7EE5D,,0,Unregistered,,,,,0,1.0,0
PROP-B95CC1DB318E,RERA-TNR-61092387,1,Ongoing,29.0,54.0,53.7,245.0,16,0.125,0
PROP-E85EE1279880,RERA-TNR-73103982,1,Ongoing,12.0,25.0,48.0,197.0,18,0.611,0
PROP-54FB66193060,RERA-TNR-18761240,1,Ongoing,18.0,26.0,69.2,150.0,16,0.625,0
PROP-F4CBA1F89310,,0,Unregistered,,,,,0,1.0,0
PROP-AE9FAB73B03E,,0,Unregistered,,,,,0,1.0,0
PROP-95D9573608EF,,0,Unregistered,,,,,0,1.0,0
PROP-38611A7D4A8F,RERA-TNR-74105017,1,Ongoing,15.0,57.0,26.3,36.0,19,0.526,0
PROP-D34256268534,,0,Unregistered,,,,,0,1.0,0
PROP-278D25C5A9CF,,0,Unregistered,,,,,0,1.0,0
PROP-B3F66E6E1218,RERA-TNR-25526543,1,Ongoing,25.0,57.0,43.9,52.0,14,0.786,2
PROP-42CCBB206E1D,RERA-TNR-99504191,1,Ongoing,33.0,34.0,97.1,13.0,13,0.692,0
PROP-114B555D61E3,,0,Unregistered,,,,,0,1.0,0
PROP-3081FEFD587E,,0,Unregistered,,,,,0,1.0,0
PROP-AC0D7FC22FA5,,0,Unregistered,,,,,0,1.0,0
PROP-2783ED738E18,RERA-TNR-70220842,1,Ongoing,12.0,50.0,24.0,74.0,7,0.571,2
PROP-C63EC5BF7F6E,,0,Unregistered,,,,,0,1.0,0
PROP-C8E03C400D54,,0,Unregistered,,,,,0,1.0,0
PROP-63F47AE16D9B,RERA-TNR-95788935,1,Ongoing,13.0,47.0,27.7,40.0,8,0.875,1
PROP-F8E3ED1C784D,,0,Unregistered,,,,,0,1.0,0
PROP-30E17D169E3B,RERA-TNR-48337709,1,Ongoing,19.0,40.0,47.5,97.0,11,0.818,0
PROP-902AA2B2D73C,,0,Unregistered,,,,,0,1.0,0
PROP-6CDB5A05F81B,,0,Unregistered,,,,,0,1.0,0
PROP-5121A05CEFD0,,0,Unregistered,,,,,0,1.0,0
PROP-5E515C9892F8,RERA-TNR-21355340,1,Ongoing,6.0,57.0,10.5,109.0,3,0.667,0
PROP-C194DFE317D3,,0,Unregistered,,,,,0,1.0,0
PROP-86893D56053B,,0,Unregistered,,,,,0,1.0,0
PROP-52B22AC0144C,,0,Unregistered,,,,,0,1.0,0
PROP-DA9B29101D08,,0,Unregistered,,,,,0,1.0,0
PROP-6383FF4A790A,RERA-TNR-23257397,1,Ongoing,27.0,34.0,79.4,155.0,18,0.333,0
PROP-D2B34E8F00C1,RERA-TNR-23084444,1,Ongoing,30.0,53.0,56.6,51.0,20,0.6,0
PROP-3A9741912D89,,0,Unregistered,,,,,0,1.0,0
PROP-2818943A7CED,RERA-TNR-92608062,1,Ongoing,12.0,42.0,28.6,264.0,11,0.636,1
PROP-54BB992F2BC1,,0,Unregistered,,,,,0,1.0,0
PROP-7A3F3AEDD544,RERA-TNR-92748073,1,Ongoing,23.0,47.0,48.9,43.0,11,0.545,0
PROP-45E581D1E971,,0,Unregistered,,,,,0,1.0,0
PROP-888CCB46DED6,,0,Unregistered,,,,,0,1.0,0
PROP-0C5AF6DCA391,RERA-TNR-63575806,1,Ongoing,29.0,49.0,59.2,72.0,5,0.2,0
PROP-2A83D9D4FC49,RERA-TNR-22809029,1,Ongoing,27.0,53.0,50.9,161.0,11,0.545,0
PROP-2E797152908C,,0,Unregistered,,,,,0,1.0,0
PROP-B311B7A31695,,0,Unregistered,,,,,0,1.0,0
PROP-D8A8E133A537,RERA-TNR-05779198,1,Ongoing,40.0,50.0,80.0,51.0,13,0.846,1
PROP-17AE9C55287D,RERA-TNR-60277224,1,Completed,57.0,53.0,100.0,12.0,5,0.8,0
PROP-C0504EA01382,,0,Unregistered,,,,,0,1.0,0
PROP-51638FC7E69A,RERA-TNR-64880445,1,Ongoing,27.0,54.0,50.0,102.0,7,0.714,0
PROP-BFC344387222,RERA-TNR-58247490,1,Completed,24.0,24.0,100.0,106.0,20,0.75,0
PROP-44543A5CCDD6,RERA-TNR-33885842,1,Ongoing,12.0,45.0,26.7,90.0,12,0.583,0
PROP-FE64C4652902,RERA-TNR-29473366,1,Ongoing,8.0,37.0,21.6,200.0,18,0.944,6
PROP-E0527F2E5C79,RERA-TNR-94714042,1,Ongoing,24.0,32.0,75.0,156.0,30,0.333,0
PROP-B28B970D1C56,RERA-TNR-17458889,1,Completed,39.0,25.0,100.0,24.0,12,0.75,1
PROP-1F07B7134CDF,RERA-TNR-49988432,1,Ongoing,38.0,59.0,64.4,22.0,11,0.455,0
PROP-5F64D028734D,,0,Unregistered,,,,,0,1.0,0
PROP-636AE83EBE9C,RERA-TNR-43913777,1,Ongoing,39.0,60.0,65.0,82.0,5,0.2,0
PROP-F85AE7CC9AF7,RERA-TNR-42778189,1,Ongoing,46.0,53.0,86.8,67.0,12,0.667,0
PROP-2F0F1F4E92C4,RERA-TNR-07795089,1,Ongoing,35.0,39.0,89.7,130.0,16,0.25,0
PROP-82561D58FD53,RERA-TNR-60053431,1,Ongoing,21.0,55.0,38.2,175.0,6,0.5,0
PROP-A2F6A99CC0CC,RERA-TNR-21772466,1,Completed,70.0,58.0,100.0,28.0,22,0.727,0
PROP-3E47A053C0FF,RERA-TNR-85316882,1,Ongoing,24.0,29.0,82.8,20.0,19,0.474,0
PROP-9A7387795A30,RERA-TNR-67324170,1,Completed,35.0,31.0,100.0,124.0,5,0.6,0
PROP-0C69AE26D913,RERA-TNR-57075515,1,Ongoing,13.0,59.0,22.0,239.0,17,0.412,0
PROP-1E0B226AD1CB,RERA-TNR-81630477,1,Ongoing,7.0,56.0,12.5,27.0,19,0.895,1
PROP-A259DD7FE9C8,RERA-TNR-52725408,1,Ongoing,10.0,32.0,31.2,46.0,15,0.533,0
PROP-0B30A0A0DBBD,RERA-TNR-55699219,1,Ongoing,49.0,53.0,92.5,97.0,18,0.5,0
PROP-4278AC95E337,,0,Unregistered,,,,,0,1.0,0
PROP-294660330DD1,RERA-TNR-28239342,1,Ongoing,40.0,50.0,80.0,128.0,10,0.5,0
PROP-CED436FA687B,RERA-TNR-41833522,1,Ongoing,24.0,33.0,72.7,197.0,18,0.556,0
PROP-5E6983336D58,RERA-TNR-60096569,1,Completed,39.0,39.0,100.0,54.0,21,0.952,3
PROP-149FFB2F26CA,RERA-TNR-02533471,1,Completed,52.0,24.0,100.0,65.0,18,0.556,0
PROP-484F5023E66A,RERA-TNR-89089162,1,Ongoing,12.0,58.0,20.7,93.0,4,0.25,0
PROP-2647D77E0F8D,RERA-TNR-02533471,1,Completed,64.0,24.0,100.0,65.0,20,0.75,0
PROP-AA9429C07967,RERA-TNR-23041627,1,Ongoing,13.0,30.0,43.3,70.0,63,0.254,0
PROP-F74B6364D62C,RERA-TNR-63575806,1,Ongoing,20.0,49.0,40.8,72.0,5,0.2,0
PROP-BDDD24EA360A,RERA-TNR-22978651,1,Completed,37.0,24.0,100.0,29.0,15,0.467,0
PROP-35665EC66C18,RERA-TNR-96261529,1,Completed,35.0,34.0,100.0,245.0,18,0.889,5
PROP-0D98C2E8D9E1,RERA-TNR-26837608,1,Ongoing,10.0,35.0,28.6,60.0,6,0.5,0
PROP-B6C61BC5B0C3,RERA-TNR-77250873,1,Ongoing,19.0,46.0,41.3,85.0,12,0.333,0
PROP-15C164A6E840,RERA-TNR-65834738,1,Ongoing,20.0,39.0,51.3,65.0,14,0.571,0
PROP-757C59EC7B31,RERA-TNR-84636067,1,Ongoing,9.0,56.0,16.1,288.0,14,0.571,0
PROP-3C25CCD7D2B4,RERA-TNR-31513972,1,Ongoing,38.0,43.0,88.4,63.0,21,0.619,1
PROP-3E587CC9CAB6,RERA-TNR-02533471,1,Completed,37.0,24.0,100.0,65.0,17,0.588,0
PROP-872F313098E2,RERA-TNR-94724405,1,Ongoing,23.0,41.0,56.1,74.0,6,0.333,0
PROP-DB780F7939B4,RERA-TNR-05530725,1,Ongoing,35.0,40.0,87.5,68.0,8,0.75,0
PROP-83A560ED903F,RERA-TNR-94724405,1,Ongoing,38.0,41.0,92.7,74.0,8,0.375,0
PROP-FBAE78BF23D2,RERA-TNR-55699219,1,Completed,73.0,53.0,100.0,97.0,21,0.667,2
PROP-B59553234E86,,0,Unregistered,,,,,0,1.0,0
PROP-B6CDFCD7A060,,0,Unregistered,,,,,0,1.0,0
PROP-C163C0D4CB89,,0,Unregistered,,,,,0,1.0,0
PROP-1992387BDC35,RERA-TNR-04902062,1,Ongoing,28.0,45.0,62.2,65.0,6,0.667,0
PROP-5A9449E11655,,0,Unregistered,,,,,0,1.0,0
PROP-94E563882B43,RERA-TNR-77532733,1,Ongoing,19.0,24.0,79.2,168.0,12,0.583,0
PROP-7943C1E25050,,0,Unregistered,,,,,0,1.0,0
PROP-9FB3F9DA0458,,0,Unregistered,,,,,0,1.0,0
PROP-457AD501CB4F,,0,Unregistered,,,,,0,1.0,0
PROP-DF0B5484FDE6,,0,Unregistered,,,,,0,1.0,0
PROP-17028BED9959,,0,Unregistered,,,,,0,1.0,0
PROP-0922FECA4B33,,0,Unregistered,,,,,0,1.0,0
PROP-2921F7C54237,,0,Unregistered,,,,,0,1.0,0
PROP-04ACBBC413FF,,0,Unregistered,,,,,0,1.0,0
PROP-AFDAE87C7154,RERA-TNR-23084444,1,Ongoing,51.0,53.0,96.2,51.0,21,0.762,3
PROP-064596C5790A,RERA-TNR-53876448,1,Ongoing,27.0,29.0,93.1,69.0,22,0.727,0
PROP-230BB0F69709,RERA-TNR-53274323,1,Ongoing,21.0,32.0,65.6,29.0,20,0.75,1
PROP-114A14ECCF64,,0,Unregistered,,,,,0,1.0,0
PROP-50558CB1DC5F,,0,Unregistered,,,,,0,1.0,0
PROP-6FA0CFE85AFF,RERA-TNR-16455060,1,Ongoing,14.0,53.0,26.4,57.0,12,0.5,0
PROP-6CB6B102556C,RERA-TNR-77948920,1,Ongoing,38.0,57.0,66.7,63.0,18,0.944,2
PROP-96DA711717E2,,0,Unregistered,,,,,0,1.0,0
PROP-0B4999D2EC4D,RERA-TNR-35579935,1,Ongoing,13.0,42.0,31.0,206.0,5,0.8,0
PROP-B890BC9B2271,,0,Unregistered,,,,,0,1.0,0
PROP-042367585D6E,,0,Unregistered,,,,,0,1.0,0
PROP-9F53A910A054,,0,Unregistered,,,,,0,1.0,0
PROP-F360C8E6C8CF,RERA-TNR-03275759,1,Ongoing,29.0,49.0,59.2,66.0,4,0.25,0
PROP-DDCFD68B4D1A,RERA-TNR-04614226,1,Ongoing,12.0,24.0,50.0,38.0,11,0.0,0
PROP-9CA24DB7A583,RERA-TNR-07816173,1,Ongoing,39.0,45.0,86.7,106.0,10,0.7,0
PROP-1D61D96EF60F,RERA-TNR-87207091,1,Ongoing,13.0,57.0,22.8,215.0,10,0.8,1
PROP-DF47A905796B,RERA-TNR-46252788,1,Completed,54.0,46.0,100.0,69.0,8,0.625,0
PROP-65A514317903,,0,Unregistered,,,,,0,1.0,0
PROP-A06E792E45F2,,0,Unregistered,,,,,0,1.0,0
PROP-815CBD9AED4B,RERA-TNR-06976604,1,Ongoing,22.0,59.0,37.3,23.0,20,0.75,1
PROP-2BDFAB712760,RERA-TNR-05779198,1,Ongoing,40.0,50.0,80.0,51.0,12,0.417,0
PROP-84DFA6EC15D4,,0,Unregistered,,,,,0,1.0,0
PROP-FB06D2E59F92,RERA-TNR-66512934,1,Ongoing,24.0,57.0,42.1,37.0,9,0.889,2
PROP-87A2F1F1F3E3,RERA-TNR-42885301,1,Ongoing,27.0,41.0,65.9,29.0,7,0.429,0
PROP-8BAACECCE52C,RERA-TNR-56743215,1,Ongoing,37.0,40.0,92.5,111.0,21,0.524,0
PROP-E655FD5552A3,,0,Unregistered,,,,,0,1.0,0
PROP-09D3A035CD7B,,0,Unregistered,,,,,0,1.0,0
PROP-D86C1F55C0AC,,0,Unregistered,,,,,0,1.0,0
PROP-4698EF9D9F8B,RERA-TNR-11200937,1,Ongoing,11.0,46.0,23.9,45.0,5,0.2,0
PROP-AB7AAC6B0331,,0,Unregistered,,,,,0,1.0,0
PROP-08AEF5A9D481,RERA-TNR-29269550,1,Ongoing,32.0,52.0,61.5,150.0,4,0.75,1
PROP-BAB6D9932EF7,,0,Unregistered,,,,,0,1.0,0
PROP-3A27D9D78AE5,RERA-TNR-21336382,1,Ongoing,8.0,57.0,14.0,65.0,28,0.321,0
PROP-FB1D8806ECA6,RERA-TNR-20715085,1,Ongoing,11.0,45.0,24.4,82.0,18,0.389,0
PROP-AEC56B927638,,0,Unregistered,,,,,0,1.0,0
PROP-7B89777A2523,RERA-TNR-07992451,1,Completed,33.0,25.0,100.0,178.0,13,0.385,0
PROP-031EACC72FAC,RERA-TNR-74117619,1,Ongoing,9.0,53.0,17.0,195.0,17,0.765,3
PROP-D8DCABCE8AE4,,0,Unregistered,,,,,0,1.0,0
PROP-BE5D19F0570A,,0,Unregistered,,,,,0,1.0,0
PROP-08200F346794,RERA-TNR-10870615,1,Ongoing,9.0,37.0,24.3,73.0,12,0.5,0
PROP-27FCD293E4E9,,0,Unregistered,,,,,0,1.0,0
PROP-76C47B6DA21A,RERA-TNR-62515183,1,Completed,67.0,53.0,100.0,70.0,10,0.7,0
PROP-ADA46D2531DF,RERA-TNR-44276513,1,Completed,39.0,35.0,100.0,191.0,15,0.267,0
PROP-B57AF3710DB2,RERA-TNR-71166606,1,Ongoing,24.0,29.0,82.8,182.0,21,0.667,2
PROP-158650B2A986,,0,Unregistered,,,,,0,1.0,0
PROP-0918BD82CE03,RERA-TNR-46678474,1,Ongoing,28.0,39.0,71.8,245.0,5,0.6,0
PROP-B75A9F04D7FE,RERA-TNR-77669653,1,Ongoing,35.0,41.0,85.4,48.0,19,0.526,0
PROP-299B104BBB36,,0,Unregistered,,,,,0,1.0,0
PROP-A46D4E0EB0B9,,0,Unregistered,,,,,0,1.0,0
PROP-F4F8FDE8DB7A,RERA-TNR-11714972,1,Ongoing,6.0,39.0,15.4,11.0,11,0.636,0
PROP-CCCF014B0C39,,0,Unregistered,,,,,0,1.0,0
PROP-2AFDF2EFBB05,RERA-TNR-35145558,1,Completed,28.0,27.0,100.0,186.0,4,1.0,0
PROP-F1B094D776AC,RERA-TNR-80667457,1,Ongoing,27.0,58.0,46.6,12.0,12,0.75,2
PROP-4A717AC26215,,0,Unregistered,,,,,0,1.0,0
PROP-6030BEE2AD7B,RERA-TNR-84781540,1,Completed,34.0,33.0,100.0,219.0,14,0.929,1
PROP-05DCF1E5D39D,RERA-TNR-62515183,1,Completed,64.0,53.0,100.0,70.0,10,0.7,0
PROP-C3F7B5D86C96,,0,Unregistered,,,,,0,1.0,0
PROP-5D26797CA7AF,RERA-TNR-34371070,1,Ongoing,8.0,33.0,24.2,117.0,12,0.333,0
PROP-0DCC61F3F26A,,0,Unregistered,,,,,0,1.0,0
PROP-A3C056BEF2B8,RERA-TNR-62515183,1,Completed,64.0,53.0,100.0,70.0,10,0.7,0
PROP-1BEDC9589A02,RERA-TNR-62515183,1,Ongoing,37.0,53.0,69.8,70.0,7,0.714,0
PROP-BF10230A4B7B,RERA-TNR-28654290,1,Ongoing,16.0,41.0,39.0,83.0,16,0.375,0
PROP-E4DBF903EF97,,0,Unregistered,,,,,0,1.0,0
PROP-15A9697D56CD,RERA-TNR-35292165,1,Ongoing,31.0,54.0,57.4,159.0,15,0.8,0
PROP-AE3E52E1B49E,,0,Unregistered,,,,,0,1.0,0
PROP-3030314EF96C,,0,Unregistered,,,,,0,1.0,0
PROP-D04249A2F8C6,,0,Unregistered,,,,,0,1.0,0
PROP-79CCEA7C1BB2,RERA-TNR-13458429,1,Ongoing,23.0,60.0,38.3,51.0,11,0.182,0
PROP-11EF6CB78C7B,,0,Unregistered,,,,,0,1.0,0
PROP-74D96523437F,,0,Unregistered,,,,,0,1.0,0
PROP-925A53CC1421,RERA-TNR-12636944,1,Ongoing,14.0,47.0,29.8,36.0,5,0.8,1
PROP-947825266908,,0,Unregistered,,,,,0,1.0,0
PROP-F561D909ECA5,,0,Unregistered,,,,,0,1.0,0
PROP-5FD4DDB5BEC6,RERA-TNR-40847400,1,Completed,71.0,26.0,100.0,78.0,12,0.917,1
PROP-D7B35E263CD6,,0,Unregistered,,,,,0,1.0,0
PROP-4208A13E74B2,RERA-TNR-74717661,1,Completed,55.0,46.0,100.0,241.0,66,0.258,0
PROP-7A9AC8BC5366,,0,Unregistered,,,,,0,1.0,0
PROP-FB49CD463A83,RERA-TNR-22809029,1,Completed,54.0,53.0,100.0,161.0,12,0.667,0
PROP-CE02F17A36DF,,0,Unregistered,,,,,0,1.0,0
PROP-4AD3C193438C,RERA-TNR-41754265,1,Ongoing,19.0,55.0,34.5,42.0,10,0.6,0
PROP-40E52907DC2C,RERA-TNR-20993984,1,Ongoing,30.0,52.0,57.7,134.0,11,0.727,2
PROP-91431ADFE5D2,,0,Unregistered,,,,,0,1.0,0
PROP-1F1504EB20E5,RERA-TNR-46565661,1,Ongoing,39.0,43.0,90.7,21.0,14,0.786,0
PROP-105312908C3A,,0,Unregistered,,,,,0,1.0,0
PROP-3370EB76062C,RERA-TNR-11314000,1,Ongoing,38.0,43.0,88.4,45.0,8,0.375,0
PROP-A327069852C8,RERA-TNR-88682329,1,Completed,35.0,29.0,100.0,64.0,23,0.826,0
PROP-8A03660F84A2,,0,Unregistered,,,,,0,1.0,0
PROP-41740A5B3569,,0,Unregistered,,,,,0,1.0,0
PROP-FB32AA5EB661,RERA-TNR-85841502,1,Ongoing,24.0,31.0,77.4,84.0,17,0.412,0
PROP-410A4C8E613B,RERA-TNR-60267813,1,Ongoing,27.0,31.0,87.1,80.0,13,0.692,1
PROP-FB7CC68BAA3F,,0,Unregistered,,,,,0,1.0,0
PROP-6A1A02FBF175,,0,Unregistered,,,,,0,1.0,0
PROP-0AB9190D8A3D,RERA-TNR-61895750,1,Completed,47.0,30.0,100.0,92.0,17,0.471,0
PROP-0EBACD081EFB,RERA-TNR-06675421,1,Ongoing,38.0,40.0,95.0,48.0,17,0.529,0
PROP-A21097418DB7,,0,Unregistered,,,,,0,1.0,0
PROP-1BB8DE053D92,,0,Unregistered,,,,,0,1.0,0
PROP-B76C38B11867,,0,Unregistered,,,,,0,1.0,0
PROP-6BD71451B2F3,RERA-TNR-76575297,1,Completed,51.0,43.0,100.0,102.0,10,1.0,3
PROP-B452F83417C1,RERA-TNR-45229647,1,Ongoing,13.0,43.0,30.2,67.0,10,0.6,0
PROP-7D0FFDDD8D96,,0,Unregistered,,,,,0,1.0,0
PROP-37B72CE4F891,RERA-TNR-48708670,1,Ongoing,40.0,52.0,76.9,183.0,11,0.455,0
PROP-7CC824B1D1D3,RERA-TNR-09718672,1,Ongoing,26.0,37.0,70.3,65.0,7,0.571,2
PROP-1D3C0C922DE5,RERA-TNR-73650272,1,Completed,83.0,31.0,100.0,114.0,20,0.75,1
PROP-E2C47E11E7C7,,0,Unregistered,,,,,0,1.0,0
PROP-49214D77DFEC,RERA-TNR-37657975,1,Completed,44.0,38.0,100.0,15.0,6,0.833,0
PROP-1A162571011D,,0,Unregistered,,,,,0,1.0,0
PROP-2A274543B798,RERA-TNR-76575297,1,Ongoing,39.0,43.0,90.7,102.0,10,0.7,1
PROP-1974DF9049EB,RERA-TNR-25320168,1,Ongoing,18.0,48.0,37.5,143.0,12,0.583,0
PROP-948558C91928,,0,Unregistered,,,,,0,1.0,0
PROP-E821A6FEA8EA,,0,Unregistered,,,,,0,1.0,0
