property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_yield_pct,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,listing_date,price_per_sqft,target_locality_median_ppsf
PROP-1386E0282A51,12000000,Bengaluru,Sanjaynagar,Apartment,3,3,1,1500,2.0,12.0,,,,12.759924219379304,77.44036686068749,11.516,5.045,4.293,12.526,7.254,13.803,12.518,13.9,56584.17,35000.0,30.0,3.5,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,500.0,1.0,,0.167,6.2166061010848646,,3.4339872044851463,1.5040773967762742,2018-05-15,8000.0,12676.279999999999
PROP-46D99E06C28A,5200000,Pune,Narhe,Villa,2,3,0,1000,,,,,,18.55139819901402,74.04317914397834,3.025,5.359,3.63,3.717,7.454,5.361,6.069,20.9,11958.33,8250.0,16.25,1.9038,12.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,88,50,83,88,93.7,500.0,1.5,,,6.2166061010848646,,2.847812143477369,1.0660202240674503,2018-05-15,5200.0,4922.15
PROP-5A15969E04AC,9780000,Delhi,Bindapur,Independent House,3,3,1,900,,3.0,,,South,28.476855219774567,77.12218747058725,3.152,5.043,6.268,9.153,3.797,2.328,3.261,23.9,10666.67,11000.0,17.08,1.3497,6.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,300.0,1.0,,,5.707110264748875,,2.89480635496403,0.8542876604324224,2018-05-15,10866.67,9877.779999999999
PROP-FF908741BF94,7500000,Delhi,Patparganj,Apartment,3,3,0,1000,1.0,3.0,,,,28.61406274207121,77.27629104568665,1.907,5.127,3.228,10.989,7.078,4.329,1.572,27.9,31400.0,31000.0,28.84,4.96,10.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,333.333,1.0,,0.333,5.812137502284356,,3.3958497753355603,1.7850704810772584,2018-05-15,7500.0,10937.5
PROP-2B923AFC9958,7500000,Bengaluru,Vijayanagar,Independent House,2,2,1,500,,,,,,12.91575106016337,77.45353955692009,2.594,3.251,5.921,6.084,3.707,6.285,2.613,28.1,22700.0,25000.0,21.88,4.0,5.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,250.0,1.0,,,5.525452939131784,,3.130263166511597,1.6094379124341005,2018-05-15,15000.0,8819.445
PROP-64A9933E4584,6500000,Delhi,Sangam Vihar,Independent House,2,2,0,450,,,,,,28.63918615545982,77.10704009089369,3.249,2.104,8.192,3.784,3.275,3.116,4.532,31.8,10625.0,9000.0,25.04,1.6615,4.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,225.0,1.0,,,5.420534999272286,,3.2596338173403683,0.978889873630675,2018-05-15,14444.44,7333.33
PROP-BEDF6EE3E0C3,3700000,Chennai,Kalavakkam,Apartment,2,3,0,827,8.0,8.0,,,,12.915080658030613,80.22679126570141,2.679,6.979,5.041,7.518,8.485,6.805,2.177,18.4,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Completed,100.0,25.0,37.0,12,0.583,0,56,30,49,56,62.3,413.5,1.5,,1.0,6.02707297457535,,,,2018-05-15,4474.0,4382.12
PROP-98A17047105D,13300000,Chennai,Shenoy Nagar,Apartment,2,3,1,1110,3.0,3.0,,,,12.976073238630978,80.47949545888667,5.968,5.37,10.456,13.944,2.517,3.613,7.608,21.4,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,555.0,1.5,,1.0,6.320768294250582,,,,2018-05-15,11981.98,11981.98
PROP-BB51B4C642B2,5500000,Pune,Pune Cantonment,Apartment,2,2,1,780,2.0,7.0,,,,18.46682218227277,73.97652265371119,4.684,5.882,1.074,3.404,7.028,3.58,4.168,26.6,32222.55,23000.0,28.39,5.0182,1762.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,68.9,45.0,31.0,14,0.357,0,88,50,83,88,93.7,390.0,1.0,,0.286,5.968707559985366,,3.380654480430826,1.7947882112880646,2018-05-15,7051.28,6303.42
PROP-8E7090840C1D,4000000,Hyderabad,Badangpet,Apartment,2,3,1,1000,2.0,3.0,,,,17.581285345423805,78.64816453530057,2.379,7.81,5.62,17.93,9.105,4.517,4.457,18.0,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,73,40,67,73,78.7,500.0,1.5,,0.667,6.2166061010848646,,,,2018-05-15,4000.0,5957.45
PROP-29E05F68CDDC,7500000,Chennai,Veppampattu,Independent House,7,3,0,1000,4.0,,,,,13.02106669602598,80.36287375873185,3.86,4.809,6.338,7.15,10.392,1.109,4.071,23.3,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,142.857,0.429,,,4.968819750614096,,,,2018-05-15,7500.0,3939.39
PROP-222B732B6787,7200000,Bengaluru,Krishnarajapura,Apartment,3,3,1,1311,3.0,4.0,,,,12.922354681579932,77.37931126725316,6.03,0.586,1.186,3.891,7.943,2.109,4.96,37.9,56584.17,35000.0,30.0,5.8333,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,42.9,35.0,15.0,12,0.333,0,64,34,55,64,67.3,437.0,1.0,,0.75,6.082218910376446,,3.4339872044851463,1.9218077194155747,2018-05-15,5491.99,5397.18
PROP-16D78D022184,6900000,Bengaluru,Singasandra,Independent House,4,3,1,902,,,,,North-East,13.06566826209474,77.77193381535483,3.385,5.453,4.644,10.949,6.784,5.09,3.404,20.6,49500.0,51500.0,24.06,8.9565,4.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,225.5,0.75,0.942,,5.422744944923089,0.6637183698691331,3.221272949467922,2.2982256042165927,2018-05-15,7649.67,5714.29
PROP-4FF6D38EF728,8000000,Bengaluru,Mattanahalli,Apartment,2,3,0,1500,5.0,8.0,,,,13.197117628944854,77.75185082470752,4.028,13.792,14.568,14.695,12.288,8.35,7.316,8.2,56584.17,35000.0,30.0,5.25,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,750.0,1.5,,0.625,6.621405651764134,,3.4339872044851463,1.8325814637483104,2018-05-15,5333.33,6391.325
PROP-F34946D37CB3,13200000,Hyderabad,Narsingi,Apartment,3,4,1,2200,3.0,,,,East,17.27899094201159,78.47992230217251,2.13,3.04,2.583,9.339,5.181,6.357,2.263,34.7,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,27.3,44.0,12.0,12,0.417,0,73,40,67,73,78.7,733.333,1.333,,,6.598962604207666,,,,2018-05-15,6000.0,7643.825
PROP-E83797C444F3,20000000,Bengaluru,Mathikere,Independent House,9,4,1,2400,,,,,,12.791049785572923,77.81995339021039,6.857,9.275,3.858,13.546,7.999,13.403,6.476,10.5,25000.0,25000.0,29.41,1.5,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,266.667,0.444,,,5.589743670607889,,3.414771501689273,0.9162907318741552,2018-05-15,8333.33,6444.555
PROP-9CAFF9971B06,9932000,Hyderabad,Manchirevula,Apartment,3,3,0,1528,6.0,9.0,,,East,17.628362205319547,78.55888110642599,6.016,4.952,6.738,20.652,14.311,7.604,3.271,12.1,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,79.2,48.0,38.0,13,0.615,0,85,45,74,85,92.7,509.333,1.0,,0.667,6.235063453821497,,,,2018-05-15,6500.0,16047.62
PROP-AF1E0DBC7AF7,1800000,Pune,Mountbatan Camp,Apartment,1,2,1,495,3.0,4.0,,,,18.54369697212769,74.0217384829905,0.773,4.046,2.604,2.213,5.386,3.3,4.032,37.8,32222.55,23000.0,28.39,15.3333,1762.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,88,50,83,88,93.7,495.0,2.0,,0.75,6.206575926724928,,3.380654480430826,2.793205968624108,2018-05-15,3636.36,3636.36
PROP-2A795495F12F,4500000,Chennai,Villivakkam,Apartment,2,3,1,825,1.0,2.0,,,,12.850280423717397,80.25439103045024,3.874,10.88,11.503,13.806,13.076,10.379,0.285,9.3,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,85.4,41.0,35.0,4,0.5,0,56,30,49,56,62.3,412.5,1.5,,0.5,6.024657514463746,,,,2018-05-15,5454.55,7474.75
PROP-64A81EDDB81B,27500000,Hyderabad,Kokapet,Apartment,3,4,1,2185,5.0,12.0,,,,17.59217606337745,78.32922043885486,6.884,8.825,5.826,21.79,11.89,2.661,10.08,10.2,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,60.0,50.0,30.0,7,0.571,0,85,45,74,85,92.7,728.333,1.333,,0.417,6.592130417835266,,,,2018-05-15,12585.81,12096.474999999999
PROP-B9B8EF509771,11500000,Kolkata,Kalighat,Apartment,3,3,1,1350,4.0,4.0,,,,22.585875074898,88.20111767570118,2.169,1.734,3.085,7.549,7.761,2.789,1.839,36.6,,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,104,57,94,104,100.3,450.0,1.0,,1.0,6.111467339502679,,,,2018-05-15,8518.52,8518.52
PROP-4C9EEF70412C,5100000,Chennai,Kolathur,Apartment,2,3,1,1160,0.0,2.0,,,,12.903854701439457,80.21285740242762,4.506,8.248,5.542,9.368,10.444,7.215,1.421,11.5,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,580.0,1.5,,0.0,6.364750756851911,,,,2018-05-15,4396.55,6097.56
PROP-49E894176BB0,4500000,Chennai,Korattur,Apartment,2,3,0,810,2.0,,,,,12.890933360391076,80.40730102495391,3.152,6.279,15.036,18.435,10.37,13.406,1.693,15.7,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,52.6,57.0,30.0,10,0.2,0,56,30,49,56,62.3,405.0,1.5,,,6.0063531596017325,,,,2018-05-15,5555.56,6608.549999999999
PROP-B9AEE3105431,24500000,Hyderabad,Rai Durg,Apartment,3,4,1,2220,2.0,31.0,,,,17.202481749542713,78.39295790537737,0.977,10.698,7.165,9.727,5.926,11.518,5.387,27.1,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,73,40,67,73,78.7,740.0,1.333,,0.065,6.608000625296087,,,,2018-05-15,11036.04,10949.37
PROP-3D3460D6B89E,6700000,Bengaluru,Mahadevapura,Independent House,2,3,1,1200,,,,,,13.123306326851482,77.5486448737885,3.447,1.844,7.123,11.843,3.87,8.119,0.917,28.0,36950.0,31000.0,39.04,5.5522,10.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,600.0,1.5,,,6.398594934535208,,3.68987895444702,1.8798008711154144,2018-05-15,5583.33,6140.35
PROP-E7AC2BC7DFCC,3700000,Pune,Kirkatwadi,Apartment,1,2,0,691,3.0,4.0,,,,18.66791025944038,73.76861606454428,4.156,3.662,5.776,7.851,10.569,3.505,4.875,22.9,9000.0,8000.0,14.58,2.5946,3.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,74,41,67,74,84.0,691.0,2.0,,0.75,6.539585955617669,,2.7459880404426023,1.279432719335797,2018-05-15,5354.56,4768.76
PROP-0D2DDF75A316,12000000,Delhi,Krishna Nagar,Independent House,2,2,1,450,,,,,,28.39816081706627,77.2522215593487,4.724,3.416,4.271,12.455,12.813,8.582,6.106,18.9,22875.0,22500.0,25.0,2.25,8.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,225.0,1.0,,,5.420534999272286,,3.258096538021482,1.1786549963416462,2018-05-15,26666.67,11944.445
PROP-5ADC07628DDA,6400000,Bengaluru,Chokkanahalli,Apartment,2,3,0,1140,1.0,5.0,,,,12.95010007498857,77.70107380792493,2.467,1.865,6.717,6.833,1.28,0.844,2.903,46.0,20000.0,20000.0,13.61,3.75,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,72.4,29.0,21.0,10,0.6,0,64,34,55,64,67.3,570.0,1.5,,0.2,6.3473892096560105,,2.681706225762608,1.55814461804655,2018-05-15,5614.04,6563.57
PROP-B847A3A44DE7,7000000,Bengaluru,Sathnur Village,Independent House,2,3,1,1100,,,,,,13.060749088232456,77.55771842385089,3.765,3.221,3.914,5.258,3.51,4.708,0.873,28.0,56584.17,35000.0,30.0,6.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,550.0,1.5,,,6.311734809152915,,3.4339872044851463,1.9459101490553128,2018-05-15,6363.64,6363.64
PROP-27B9284010CE,5300000,Hyderabad,Bolarum,Apartment,2,3,0,842,3.0,,,,East,17.224919729093926,78.48073859581035,1.985,6.772,2.755,8.312,7.741,8.349,0.963,31.1,,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,61.5,52.0,32.0,4,0.25,0,73,40,67,73,78.7,421.0,1.5,0.773,,6.045005314036012,0.5726730270920708,,,2018-05-15,6294.54,6532.07
PROP-02883F8FC7F5,5200000,Kolkata,Haltu,Apartment,3,3,1,1050,3.0,3.0,,,,22.37452002749853,88.38138018039677,3.382,2.928,3.346,3.72,14.182,3.816,2.775,24.0,,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Completed,100.0,26.0,32.0,10,0.6,0,104,57,94,104,100.3,350.0,1.0,,1.0,5.860786223465865,,,,2018-05-15,4952.38,5294.12
PROP-CF6B7BF3AEEE,11000000,Bengaluru,Kothanur,Apartment,2,3,1,1740,4.0,4.0,,,,13.211943441656686,77.35517761759321,15.17,13.391,13.781,29.388,19.208,13.76,11.187,1.4,56584.17,35000.0,30.0,3.8182,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,870.0,1.5,,1.0,6.769641976852503,,3.4339872044851463,1.572400414331537,2018-05-15,6321.84,6209.700000000001
PROP-3B1748FE4657,2000000,Bengaluru,Kengeri Hobli,Independent House,2,2,0,600,0.0,,,,,13.217936065335287,77.37183442673671,14.598,12.533,12.428,28.715,18.702,13.243,9.301,1.8,56584.17,35000.0,30.0,21.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,300.0,1.0,,,5.707110264748875,,3.4339872044851463,3.091042453358316,2018-05-15,3333.33,3977.2
PROP-1B7C7F7BB4F0,12500000,Bengaluru,Bannerughatta,Independent House,5,3,1,1200,,,,,,13.122969098701248,77.63660560314531,3.725,5.936,2.514,5.513,8.619,5.337,2.862,20.1,56584.17,35000.0,30.0,3.36,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,240.0,0.6,,,5.484796933490655,,3.4339872044851463,1.4724720573609429,2018-05-15,10416.67,5120.625
PROP-71C5785DCEFE,7400000,Bengaluru,Devinagar,Apartment,2,3,0,1241,4.0,4.0,,,,13.203649494853297,77.55756467761556,4.065,4.378,7.745,17.905,12.459,9.125,3.849,17.3,10000.0,10000.0,20.0,1.6216,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,60.4,53.0,32.0,15,0.067,0,61,32,53,61,63.0,620.5,1.5,,1.0,6.432135910950766,,3.044522437723423,0.9637848184024678,2018-05-15,5962.93,5909.975
PROP-7CA7DCEACC90,3700000,Delhi,Vinod Nagar East,Apartment,2,2,0,600,1.0,3.0,,,,28.691289519015328,77.3830982721843,1.626,3.763,4.495,11.796,17.398,5.018,4.35,27.6,41733.14,22000.0,27.78,7.1351,1758.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,300.0,1.0,,0.333,5.707110264748875,,3.359680701459222,2.096188033158448,2018-05-15,6166.67,5833.335
PROP-4981348830B6,4500000,Pune,Narhe,Apartment,2,3,0,848,4.0,4.0,,,,18.55139819901402,74.04317914397834,3.025,5.359,3.63,3.717,7.454,5.361,6.069,20.9,11958.33,8250.0,16.25,2.2,12.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,56.9,58.0,33.0,11,0.364,0,88,50,83,88,93.7,424.0,1.5,,1.0,6.052089168924417,,2.847812143477369,1.1631508098056809,2018-05-15,5306.6,4922.15
PROP-D58DA173A1C6,30000000,Bengaluru,Electronic City,Independent House,2,3,1,1600,,,,,,12.943694,77.66531950000001,1.558,1.73,6.281,4.855,5.111,2.738,0.501,38.2,36560.0,30000.0,23.64,1.2,25.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,48.1,54.0,26.0,8,0.5,0,64,34,55,64,67.3,800.0,1.5,,,6.68586094706836,,3.204371138665319,0.7884573603642702,2018-05-15,18750.0,4390.24
PROP-461535F8BCC2,16000000,Delhi,Azadpur,Apartment,4,3,0,1420,2.0,4.0,,,,28.9299777129916,77.02402986435523,7.739,13.25,9.409,14.41,9.873,9.779,4.953,5.5,13250.0,13000.0,18.29,0.975,4.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,355.0,0.75,,0.5,5.87493073085203,,2.9595868269176377,0.6805683983530851,2018-05-15,11267.61,24305.56
