property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_yield_pct,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,listing_date,price_per_sqft,target_locality_median_ppsf
PROP-48E47A79C626,29700000,Chennai,Muttukadu,Apartment,4,5,1,4200,5.0,15.0,,,North,12.937823686284249,80.37261319590418,1.813,0.746,9.858,12.832,9.662,9.532,1.338,33.5,,,,,,114.54,2.01,7.64,Growth,5.15,5.4,4.0,18.25,0.0,0.0,-1.35,79.1,7.62,2.06,5.6,1,Ongoing,87.5,40.0,35.0,16,0.438,0,94,50,82,94,99.0,1050.0,1.25,,0.333,6.957497370876951,,,,2020-02-15,7071.43,7098.215
PROP-EEA71AC853AB,16200000,Chennai,Pozhichalur,Independent House,2,4,1,2838,,,,,,13.219251789386735,80.03773843117284,7.731,5.998,6.894,18.729,5.437,16.074,13.58,12.2,,,,,,112.48,1.68,6.95,Growth,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35,77.5,4.59,1.97,3.4,0,Unregistered,,,,0,1.0,0,95,53,87,95,58.0,1419.0,2.0,,,7.258412150595307,,,,2019-11-15,5708.25,4230.315
PROP-51F742AC064B,10800000,Chennai,Kolapakkam - Vandalur,Villa,3,3,0,1566,,,,,South-East,13.00682715135886,80.38501323226538,6.732,3.66,7.234,8.938,9.676,3.34,5.248,16.0,,,,,,118.41,1.95,2.26,Stable,4.0,4.25,3.5,18.0,0.0,0.0,-0.4,83.1,4.27,0.97,3.4,1,Completed,100.0,30.0,39.0,22,0.682,0,61,33,54,61,65.0,522.0,1.0,,,6.259581464064923,,,,2021-05-15,6896.55,4606.06
PROP-C1CA5D2867CF,10000000,Chennai,Thiruverkkadu,Apartment,4,4,1,2350,,,,,,13.318007452636436,80.51305436046971,7.659,13.097,8.24,24.455,18.759,14.651,9.562,3.3,,,,,,106.45,1.36,0.0,Declining,6.5,6.75,4.0,19.25,0.0,0.0,0.5,73.5,1.94,-0.81,1.4,0,Unregistered,,,,0,1.0,0,122,63,104,122,119.0,587.5,1.0,,,6.377576926700331,,,,2019-02-15,4255.32,4927.01
PROP-B129E7EC2D5F,4000000,Chennai,Ayappakkam,Apartment,2,3,1,868,2.0,2.0,,,,13.300518041511785,80.02732559257672,11.374,15.06,6.603,25.214,10.534,23.15,19.37,7.0,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Completed,100.0,31.0,71.0,20,0.55,0,41,23,38,41,62.0,434.0,1.5,,1.0,6.075346031088684,,,,2021-08-15,4608.29,5148.01
PROP-B10588A6BCFE,8900000,Chennai,Choolaimedu,Apartment,2,3,1,926,1.0,2.0,,,,12.944735930184413,80.23243586767369,2.135,3.855,3.619,4.461,6.307,5.698,4.452,28.5,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,463.0,1.5,,0.5,6.139884552226255,,,,2021-08-15,9611.23,6906.525
PROP-562DA83E6F5E,6300000,Chennai,Saidapet,Apartment,2,3,1,1090,1.0,3.0,,,,12.914465788102827,80.32049301469166,4.75,3.517,5.708,9.321,6.516,4.735,6.46,18.6,,,,,,137.05,2.5,12.72,Growth,4.9,5.15,4.5,18.0,0.0,0.9,0.9,91.3,6.66,1.9,5.7,0,Unregistered,,,,0,1.0,0,29,15,25,29,52.0,545.0,1.5,,0.333,6.302618975744905,,,,2022-08-15,5779.82,10687.73
PROP-C8ABEEADCA06,9000000,Chennai,Perungudi,Apartment,3,3,1,1307,,,1.0,,,12.862497836300989,80.12717478358466,7.757,13.227,12.789,19.043,20.249,2.302,11.037,6.2,,,,,,116.05,1.79,1.55,Stable,4.0,4.25,3.0,18.0,0.0,0.0,-1.15,82.3,4.05,-1.32,3.2,1,Ongoing,21.1,38.0,8.0,18,0.444,1,102,53,88,102,102.3,435.667,1.0,,,6.079170890885575,,,,2021-02-15,6886.0,6515.84
PROP-7AFEE3A48B25,2500000,Chennai,Senganmal,Apartment,1,2,1,605,10.0,14.0,,,East,13.296567305144835,80.51122427318948,5.68,12.365,6.741,22.073,17.475,12.469,10.628,5.7,,,,,,104.99,1.51,0.0,Declining,6.5,6.75,4.0,19.5,0.0,0.25,0.5,74.1,0.0,0.68,0.0,1,Ongoing,66.0,53.0,35.0,6,0.5,0,81,45,74,81,50.3,605.0,2.0,,0.714,6.406879986069314,,,,2018-11-15,4132.23,4259.63
PROP-163A7FCBF545,4950000,Chennai,Thirumullaivoyal,Apartment,2,3,1,967,1.0,,,,,13.124379887872518,80.44085422013629,3.735,1.331,4.995,4.424,8.586,1.712,3.564,30.3,,,,,,104.99,1.51,0.0,Declining,6.5,6.75,4.0,19.5,0.0,0.25,0.5,74.1,0.0,0.68,0.0,0,Unregistered,,,,0,1.0,0,81,45,74,81,50.3,483.5,1.5,0.895,,6.183117431330821,0.6392188385343897,,,2018-11-15,5118.92,4776.12
PROP-744E45540410,2900000,Chennai,Kattur,Apartment,1,2,0,586,,,,,,13.028470352328664,80.15544512890263,2.835,5.834,4.763,11.334,6.525,6.472,2.765,22.5,,,,,,118.41,1.95,2.26,Stable,4.0,4.25,3.5,18.0,0.0,0.0,-0.4,83.1,4.27,0.97,3.4,0,Unregistered,,,,0,1.0,0,61,33,54,61,65.0,586.0,2.0,,,6.375024819828097,,,,2021-05-15,4948.81,5099.76
PROP-43FF1FEED483,4500000,Chennai,Selaiyur,Apartment,2,3,0,1038,1.0,2.0,,,,13.069242531734789,80.15271288835905,1.394,4.848,3.094,7.179,5.053,2.351,2.949,36.9,,,,,,110.43,1.82,6.78,Growth,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5,76.0,3.26,2.15,2.4,1,Ongoing,50.9,53.0,27.0,7,0.429,0,32,17,28,32,52.7,519.0,1.5,,0.5,6.253828811575473,,,,2019-08-15,4335.26,5357.14
PROP-61A1E2DA5AD5,7000000,Chennai,Sholinganallur,Apartment,3,3,0,1500,3.0,4.0,,,,13.0500795,80.2471525,1.108,2.135,4.909,4.732,3.168,3.764,1.357,43.6,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,85.3,34.0,29.0,8,0.0,0,56,30,49,56,62.3,500.0,1.0,,0.75,6.2166061010848646,,,,2018-05-15,4666.67,5712.215
PROP-5A879DF90FF0,4600000,Chennai,Semmancheri,Apartment,3,3,1,1133,1.0,2.0,,,,12.957055886954011,80.19304427507721,3.368,3.802,0.927,7.532,7.725,3.741,4.191,33.8,,,,,,108.72,1.92,6.81,Growth,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0,74.4,3.05,1.22,2.2,1,Ongoing,41.2,51.0,21.0,14,0.5,0,57,31,50,57,59.7,377.667,1.0,,0.5,5.93665719089429,,,,2019-05-15,4060.02,4695.65
PROP-20F9393C5B79,8950000,Chennai,Saligramam,Apartment,2,3,1,1100,1.0,2.0,,,,12.914197626829008,80.28974644462087,4.317,2.825,4.061,7.408,5.476,2.794,4.987,25.0,,,,,,133.84,3.46,12.63,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,89.6,7.82,2.63,6.5,0,Unregistered,,,,0,1.0,0,56,29,47,56,59.3,550.0,1.5,,0.5,6.311734809152915,,,,2022-05-15,8136.36,8666.84
PROP-024DCA08FBB4,4500000,Chennai,Thirumullaivoyal,Apartment,3,3,0,1024,1.0,2.0,,,,13.124379887872518,80.44085422013629,3.735,1.331,4.995,4.424,8.586,1.712,3.564,30.3,,,,,,114.85,-0.76,4.21,Stable,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75,81.1,6.71,1.76,5.1,0,Unregistered,,,,0,1.0,0,35,20,33,35,64.3,341.333,1.0,,0.5,5.83578394755014,,,,2020-08-15,4394.53,4776.12
PROP-C0706AAC1468,5400000,Chennai,Sriperumbudur,Villa,3,3,1,1508,,,,,East,12.86993259736582,80.51773783009217,2.207,13.065,7.95,26.163,3.327,15.939,10.834,21.2,,,,,,110.43,1.82,6.78,Growth,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5,76.0,3.26,2.15,2.4,0,Unregistered,,,,0,1.0,0,32,17,28,32,52.7,502.667,1.0,,,6.22191533541778,,,,2019-08-15,3580.9,4790.45
PROP-75E290D9B4B1,8700000,Chennai,Ponmar,Villa,3,3,1,1782,,,,,,12.97310503982459,80.3899369502411,6.147,1.45,10.966,12.66,9.507,6.889,2.278,21.4,,,,,,125.14,3.06,9.52,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.2,4.56,1.87,3.8,1,Ongoing,15.5,58.0,9.0,14,0.786,2,73,39,64,73,44.3,594.0,1.0,,,6.38856140554563,,,,2021-11-15,4882.15,5527.495
PROP-3282AA5F382C,25000000,Chennai,Virugambakkam,Independent House,5,4,1,2500,,,1.0,,East,13.024768995990025,80.16426472364245,1.993,5.976,5.372,11.531,5.545,7.201,3.738,25.8,,,,,,112.48,1.68,6.95,Growth,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35,77.5,4.59,1.97,3.4,0,Unregistered,,,,0,1.0,0,69,39,63,69,43.0,500.0,0.8,,,6.2166061010848646,,,,2019-11-15,10000.0,8243.33
PROP-4DF17EEDA0FB,7000000,Chennai,Adyar,Apartment,2,3,1,900,,,,,,13.068805,80.24042,2.276,3.643,4.085,6.117,3.136,2.467,0.854,34.8,,,,,,112.48,1.68,6.95,Growth,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35,77.5,4.59,1.97,3.4,0,Unregistered,,,,0,1.0,0,69,39,63,69,43.0,450.0,1.5,,,6.111467339502679,,,,2019-11-15,7777.78,11000.0
PROP-141C4C451E0C,2600000,Chennai,West Tambaram,Apartment,1,2,1,537,2.0,4.0,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,,133.84,3.46,12.63,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,89.6,7.82,2.63,6.5,1,Ongoing,37.1,35.0,13.0,12,0.833,1,56,29,47,56,59.3,537.0,2.0,,0.5,6.2878585601617845,,,,2022-05-15,4841.71,5323.895
PROP-C1E8167421C6,9000000,Chennai,Kottavakkam,Independent House,2,3,1,1292,,,,,,12.928755842617944,80.31621140429141,5.107,2.147,4.351,7.9,4.958,3.598,5.561,24.4,,,,,,125.14,3.06,9.52,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.2,4.56,1.87,3.8,0,Unregistered,,,,0,1.0,0,73,39,64,73,44.3,646.0,1.5,,,6.472346294500901,,,,2021-11-15,6965.94,8134.135
PROP-008213E4D941,5400000,Chennai,Thiruverkkadu,Apartment,3,3,0,1096,4.0,,,,South,13.318007452636436,80.51305436046971,7.659,13.097,8.24,24.455,18.759,14.651,9.562,3.3,,,,,,110.43,1.82,6.78,Growth,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5,76.0,3.26,2.15,2.4,1,Ongoing,65.5,29.0,19.0,15,0.467,0,39,21,35,39,60.7,365.333,1.0,,,5.90354275581699,,,,2019-08-15,4927.01,4927.01
PROP-07542049EDCD,24000000,Chennai,Ayanavaram,Independent House,4,4,1,2300,,,,,,13.304251824080856,80.34857701390241,6.072,5.017,7.682,21.017,8.267,4.345,7.057,12.6,,,,,,142.46,3.59,13.31,Growth,5.9,6.15,4.5,18.0,0.0,1.0,1.9,93.1,6.77,1.97,5.9,0,Unregistered,,,,0,1.0,0,90,51,85,90,54.3,575.0,1.0,,,6.356107660695892,,,,2022-11-15,10434.78,9196.31
PROP-113E49F70FEC,2900000,Chennai,Sembakkam,Apartment,1,2,0,586,,,,,,12.882234431971892,80.38206017869113,2.704,5.801,13.161,16.705,13.264,12.29,3.94,16.5,,,,,,106.45,1.36,0.0,Declining,6.5,6.75,4.0,19.25,0.0,0.0,0.5,73.5,1.94,-0.81,1.4,0,Unregistered,,,,0,1.0,0,90,49,80,90,96.7,586.0,2.0,,,6.375024819828097,,,,2019-02-15,4948.81,5688.28
PROP-AD5970B8725C,9000000,Chennai,Old Pallavaram,Apartment,2,3,0,1112,14.0,14.0,,,,13.321255891512005,80.4002420697225,9.421,4.443,3.04,25.727,10.715,5.808,5.099,13.7,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,1,Ongoing,88.1,59.0,52.0,18,0.833,2,41,23,38,41,62.0,556.0,1.5,,1.0,6.322565239927284,,,,2021-08-15,8093.53,8253.885
PROP-20C1C3775C99,2480000,Chennai,Veppampattu,Independent House,1,2,1,560,,,,,,13.02106669602598,80.36287375873185,3.86,4.809,6.338,7.15,10.392,1.109,4.071,23.3,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,560.0,2.0,0.393,,6.329720905522696,0.3314596947976687,,,2021-08-15,4428.57,3954.99
PROP-B27550B59EF2,3700000,Chennai,Pammal,Apartment,2,3,1,856,3.0,,,,,13.035131242441896,80.37525219571614,4.678,3.06,4.359,6.03,11.548,1.117,6.05,25.9,,,,,,108.72,1.92,6.81,Growth,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0,74.4,3.05,1.22,2.2,0,Unregistered,,,,0,1.0,0,78,42,70,78,81.0,428.0,1.5,,,6.061456918928017,,,,2019-05-15,4322.43,5510.2
PROP-A9AD15AE4F4B,6500000,Chennai,Vanagaram,Apartment,2,3,1,1079,1.0,3.0,,,,13.107328157599085,80.42738102170294,2.954,3.474,3.877,4.482,7.789,3.639,2.088,24.7,,,,,,142.46,3.59,13.31,Growth,5.9,6.15,4.5,18.0,0.0,1.0,1.9,93.1,6.77,1.97,5.9,0,Unregistered,,,,0,1.0,0,90,51,85,90,54.3,539.5,1.5,,0.333,6.292494637079263,,,,2022-11-15,6024.1,33572.05
PROP-968DCB86BB82,12000000,Chennai,Jeth Nagar,Apartment,2,3,1,1100,0.0,,,,,13.244251510786151,80.04865756812497,6.459,8.883,6.844,19.491,4.665,16.938,13.689,11.5,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,81,46,75,81,83.7,550.0,1.5,,,6.311734809152915,,,,2018-05-15,10909.09,10909.09
PROP-7E5D68FEA71F,5600000,Chennai,Madambakkam,Apartment,3,3,1,1432,0.0,2.0,,,,13.087314477574838,80.08595065143106,2.682,2.674,5.269,11.341,4.094,4.088,4.053,28.2,,,,,,114.85,-0.76,4.21,Stable,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75,81.1,6.71,1.76,5.1,1,Ongoing,24.4,45.0,11.0,16,0.375,0,27,14,23,27,48.3,477.333,1.0,,0.0,6.170307142661257,,,,2020-08-15,3910.61,5174.64
PROP-44ED17888D48,4500000,Chennai,Urapakkam,Apartment,2,3,1,932,1.0,4.0,,,,13.092876235456748,80.30599445245204,3.546,1.498,5.424,3.715,2.683,2.641,2.875,35.0,,,,,,112.48,1.68,6.95,Growth,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35,77.5,4.59,1.97,3.4,1,Ongoing,27.3,44.0,12.0,9,0.667,0,95,53,87,95,58.0,466.0,1.5,,0.25,6.1463292576688975,,,,2019-11-15,4828.33,4166.67
PROP-81E153A834E7,4500000,Chennai,Madambakkam,Independent House,3,3,1,1500,,,,,,13.087314477574838,80.08595065143106,2.682,2.674,5.269,11.341,4.094,4.088,4.053,28.2,,,,,,129.27,3.14,10.98,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.3,6.08,0.11,5.0,0,Unregistered,,,,0,1.0,0,97,51,84,97,94.7,500.0,1.0,0.667,,6.2166061010848646,0.511025603768657,,,2022-02-15,3000.0,5174.64
PROP-A88B26A7F5A1,7500000,Chennai,West Tambaram,Independent House,2,3,1,1200,,,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,600.0,1.5,,,6.398594934535208,,,,2021-08-15,6250.0,5323.895
PROP-EE3AB12955E8,3200000,Chennai,Velachery,Apartment,1,2,1,590,1.0,,,,,13.05042,80.258421,2.325,1.909,3.869,3.556,2.345,3.575,1.186,41.6,,,,,,121.15,2.41,5.53,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,29,15,25,29,51.7,590.0,2.0,,,6.3818160174060985,,,,2021-08-15,5423.73,8125.0
