city,quarter,hpi_assessment,hpi_market,carpet_area_rate_inr,qoq_growth_assessment,qoq_growth_market,yoy_growth_assessment,yoy_growth_market
Chennai,2022-Q4,146.01,146.49,7890.36,2.7,2.83,12.83,13.32
Chennai,2023-Q1,149.13,149.55,8050.15,2.14,2.09,11.38,11.74
Chennai,2023-Q2,151.59,152.55,8176.44,1.65,2.01,10.46,11.31
Chennai,2023-Q3,154.51,155.99,8325.94,1.93,2.25,8.68,9.5
Chennai,2023-Q4,158.21,159.84,8515.37,2.39,2.47,8.36,9.11
Chennai,2024-Q1,160.06,161.57,8610.35,1.17,1.08,7.33,8.04
Chennai,2024-Q2,162.71,163.46,8745.75,1.66,1.17,7.34,7.15
Chennai,2024-Q3,166.06,166.78,8916.54,2.06,2.03,7.48,6.92
Chennai,2024-Q4,168.11,169.35,9021.32,1.23,1.54,6.26,5.95
Chennai,2025-Q1,171.56,173.32,9196.81,2.05,2.34,7.18,7.27
Chennai,2025-Q2,173.79,175.92,9310.43,1.3,1.5,6.81,7.62
Chennai,2025-Q3,177.24,179.28,9486.17,1.99,1.91,6.73,7.49
Chennai,2025-Q4,181.81,184.34,9718.31,2.58,2.82,8.15,8.85
Chennai,2026-Q1,185.14,187.79,9887.59,1.83,1.87,7.92,8.35
Delhi,2018-Q1,100.5,100.2,8500.0,0.0,0.0,0.0,0.0
Delhi,2018-Q2,102.57,102.25,8666.08,2.06,2.05,0.0,0.0
Delhi,2018-Q3,104.78,104.79,8844.02,2.15,2.48,0.0,0.0
Delhi,2018-Q4,106.64,106.63,8992.47,1.78,1.76,0.0,0.0
Delhi,2019-Q1,108.35,108.21,9130.14,1.6,1.48,7.81,7.99
Delhi,2019-Q2,111.17,110.65,9355.73,2.6,2.25,8.38,8.22
Delhi,2019-Q3,113.33,112.76,9528.26,1.94,1.91,8.16,7.61
Delhi,2019-Q4,115.46,115.27,9698.5,1.88,2.23,8.27,8.1
Delhi,2020-Q1,117.74,117.92,9880.19,1.97,2.3,8.67,8.97
Delhi,2020-Q2,117.31,117.53,9845.74,-0.37,-0.33,5.52,6.22
Delhi,2020-Q3,116.08,115.55,9748.09,-1.05,-1.68,2.43,2.47
Delhi,2020-Q4,118.02,117.8,9902.69,1.67,1.95,2.22,2.19
Delhi,2021-Q1,120.49,120.51,10099.27,2.09,2.3,2.34,2.2
Delhi,2021-Q2,121.98,122.06,10218.13,1.24,1.29,3.98,3.85
Delhi,2021-Q3,125.75,125.67,10518.45,3.09,2.96,8.33,8.76
Delhi,2021-Q4,129.32,129.03,10801.76,2.84,2.67,9.57,9.53
Delhi,2022-Q1,133.2,133.18,11109.76,3.0,3.22,10.55,10.51
Delhi,2022-Q2,136.75,136.95,11391.29,2.67,2.83,12.11,12.2
Delhi,2022-Q3,139.82,140.58,11634.31,2.24,2.65,11.19,11.86
Delhi,2022-Q4,143.88,144.62,11954.99,2.9,2.87,11.26,12.08
Delhi,2023-Q1,145.67,146.29,12096.18,1.24,1.15,9.36,9.84
Delhi,2023-Q2,148.87,149.51,12349.06,2.2,2.2,8.86,9.17
Delhi,2023-Q3,152.79,153.84,12657.74,2.63,2.9,9.28,9.43
Delhi,2023-Q4,156.22,157.82,12927.42,2.24,2.59,8.58,9.13
Delhi,2024-Q1,158.81,160.36,13131.47,1.66,1.61,9.02,9.62
Delhi,2024-Q2,161.03,162.9,13305.51,1.4,1.58,8.17,8.96
Delhi,2024-Q3,164.42,166.75,13571.68,2.11,2.36,7.61,8.39
Delhi,2024-Q4,167.04,169.23,13777.4,1.59,1.49,6.93,7.23
Delhi,2025-Q1,169.9,171.88,14001.16,1.71,1.57,6.98,7.18
Delhi,2025-Q2,172.5,174.52,14204.75,1.53,1.54,7.12,7.13
Delhi,2025-Q3,175.05,177.08,14404.1,1.48,1.47,6.47,6.19
Delhi,2025-Q4,178.46,180.78,14670.82,1.95,2.09,6.84,6.83
Delhi,2026-Q1,181.06,184.09,14873.84,1.46,1.83,6.57,7.1
Hyderabad,2018-Q1,103.0,102.1,4800.0,0.0,0.0,0.0,0.0
Hyderabad,2018-Q2,104.61,103.76,4871.14,1.56,1.63,0.0,0.0
Hyderabad,2018-Q3,105.59,104.79,4914.79,0.94,0.99,0.0,0.0
Hyderabad,2018-Q4,107.5,107.03,4998.92,1.81,2.14,0.0,0.0
Hyderabad,2019-Q1,108.92,108.67,5061.93,1.32,1.53,5.75,6.43
Hyderabad,2019-Q2,110.65,110.5,5138.15,1.59,1.68,5.77,6.5
Hyderabad,2019-Q3,112.75,112.53,5230.95,1.9,1.84,6.78,7.39
Hyderabad,2019-Q4,115.19,115.17,5338.3,2.16,2.35,7.15,7.61
Hyderabad,2020-Q1,117.44,117.57,5437.51,1.95,2.08,7.82,8.19
Hyderabad,2020-Q2,116.71,117.24,5405.46,-0.62,-0.28,5.48,6.1
Hyderabad,2020-Q3,116.36,116.65,5389.72,-0.3,-0.5,3.2,3.66
Hyderabad,2020-Q4,118.83,119.29,5498.58,2.12,2.26,3.16,3.58
Hyderabad,2021-Q1,120.97,121.31,5592.85,1.8,1.69,3.01,3.18
Hyderabad,2021-Q2,123.26,124.31,5693.39,1.89,2.47,5.61,6.03
Hyderabad,2021-Q3,127.12,128.6,5862.72,3.13,3.45,9.25,10.24
Hyderabad,2021-Q4,131.15,132.81,6039.25,3.17,3.27,10.37,11.33
Hyderabad,2022-Q1,135.57,137.38,6232.41,3.37,3.44,12.07,13.25
Hyderabad,2022-Q2,139.67,141.78,6411.65,3.02,3.2,13.31,14.05
Hyderabad,2022-Q3,144.53,147.12,6623.48,3.48,3.77,13.7,14.4
Hyderabad,2022-Q4,149.9,153.03,6857.34,3.72,4.02,14.3,15.22
Hyderabad,2023-Q1,152.01,155.71,6949.18,1.41,1.75,12.13,13.34
Hyderabad,2023-Q2,154.12,157.85,7040.65,1.39,1.37,10.35,11.33
Hyderabad,2023-Q3,157.57,161.9,7190.27,2.24,2.57,9.02,10.05
Hyderabad,2023-Q4,161.02,166.19,7339.98,2.19,2.65,7.42,8.6
Hyderabad,2024-Q1,163.31,168.07,7439.2,1.42,1.13,7.43,7.94
Hyderabad,2024-Q2,165.98,171.34,7554.71,1.63,1.95,7.7,8.55
Hyderabad,2024-Q3,169.13,174.89,7690.76,1.9,2.07,7.34,8.02
Hyderabad,2024-Q4,172.23,178.09,7824.81,1.83,1.83,6.96,7.16
Hyderabad,2025-Q1,175.46,181.72,7964.39,1.88,2.04,7.44,8.12
Hyderabad,2025-Q2,178.09,184.3,8077.57,1.5,1.42,7.3,7.56
Hyderabad,2025-Q3,180.8,187.22,8194.56,1.52,1.58,6.9,7.05
Hyderabad,2025-Q4,183.86,190.52,8326.06,1.69,1.76,6.75,6.98
Hyderabad,2026-Q1,187.23,193.98,8471.13,1.83,1.82,6.71,6.75
Kolkata,2018-Q1,100.8,100.4,4200.0,0.0,0.0,0.0,0.0
Kolkata,2018-Q2,103.0,103.02,4287.11,2.18,2.61,0.0,0.0
Kolkata,2018-Q3,105.14,105.4,4371.67,2.08,2.31,0.0,0.0
Kolkata,2018-Q4,107.74,108.19,4474.29,2.47,2.65,0.0,0.0
Kolkata,2019-Q1,110.02,110.34,4564.26,2.12,1.99,9.15,9.9
Kolkata,2019-Q2,111.99,112.52,4641.98,1.79,1.98,8.73,9.22
Kolkata,2019-Q3,114.53,115.04,4742.15,2.27,2.24,8.93,9.15
Kolkata,2019-Q4,116.38,117.31,4814.65,1.62,1.97,8.02,8.43
Kolkata,2020-Q1,118.22,119.33,4887.02,1.58,1.72,7.45,8.15
Kolkata,2020-Q2,117.01,117.96,4839.56,-1.02,-1.15,4.48,4.83
Kolkata,2020-Q3,115.73,116.66,4789.32,-1.09,-1.1,1.05,1.41
Kolkata,2020-Q4,118.42,119.05,4895.01,2.32,2.05,1.75,1.48
Kolkata,2021-Q1,120.81,121.92,4989.04,2.02,2.41,2.19,2.17
Kolkata,2021-Q2,122.54,123.31,5056.74,1.43,1.14,4.73,4.54
Kolkata,2021-Q3,125.24,126.46,5162.5,2.2,2.55,8.22,8.4
Kolkata,2021-Q4,129.56,131.24,5331.7,3.45,3.78,9.41,10.24
Kolkata,2022-Q1,133.18,135.26,5473.5,2.79,3.06,10.24,10.94
Kolkata,2022-Q2,137.38,139.57,5637.34,3.15,3.19,12.11,13.19
Kolkata,2022-Q3,141.2,143.31,5786.15,2.78,2.68,12.74,13.32
Kolkata,2022-Q4,145.25,147.29,5943.99,2.87,2.78,12.11,12.23
Kolkata,2023-Q1,146.86,149.03,6006.61,1.11,1.18,10.27,10.18
Kolkata,2023-Q2,148.3,150.95,6062.39,0.98,1.29,7.95,8.15
Kolkata,2023-Q3,150.49,153.52,6147.37,1.48,1.7,6.58,7.12
Kolkata,2023-Q4,152.49,155.51,6224.97,1.33,1.3,4.98,5.58
Kolkata,2024-Q1,154.65,157.51,6308.91,1.42,1.29,5.3,5.69
Kolkata,2024-Q2,157.16,159.19,6406.04,1.62,1.07,5.97,5.46
Kolkata,2024-Q3,160.15,162.46,6521.9,1.9,2.05,6.42,5.82
Kolkata,2024-Q4,162.17,164.67,6600.17,1.26,1.36,6.35,5.89
Kolkata,2025-Q1,165.99,168.31,6747.58,2.36,2.21,7.33,6.86
Kolkata,2025-Q2,167.86,170.56,6819.99,1.13,1.34,6.81,7.14
Kolkata,2025-Q3,171.18,174.46,6947.98,1.98,2.29,6.89,7.39
Kolkata,2025-Q4,174.28,177.73,7067.46,1.81,1.87,7.47,7.93
Kolkata,2026-Q1,177.02,181.1,7173.37,1.57,1.9,6.64,7.6
Mumbai,2018-Q1,101.2,100.9,18500.0,0.0,0.0,0.0,0.0
Mumbai,2018-Q2,103.11,102.81,18832.28,1.89,1.89,0.0,0.0
Mumbai,2018-Q3,104.28,103.78,19034.92,1.13,0.94,0.0,0.0
Mumbai,2018-Q4,106.3,106.23,19384.32,1.94,2.36,0.0,0.0
Mumbai,2019-Q1,107.52,107.5,19596.18,1.15,1.2,6.25,6.54
Mumbai,2019-Q2,109.03,108.98,19857.6,1.4,1.38,5.74,6.0
Mumbai,2019-Q3,110.38,110.41,20091.21,1.24,1.31,5.85,6.39
Mumbai,2019-Q4,112.28,112.61,20420.62,1.72,1.99,5.63,6.01
Mumbai,2020-Q1,114.36,114.83,20779.72,1.85,1.97,6.36,6.82
Mumbai,2020-Q2,114.36,114.96,20778.95,0.0,0.11,4.89,5.49
Mumbai,2020-Q3,113.31,113.97,20597.46,-0.92,-0.86,2.65,3.22
Mumbai,2020-Q4,115.72,116.6,21014.56,2.13,2.31,3.06,3.54
Mumbai,2021-Q1,117.87,118.58,21384.94,1.86,1.7,3.07,3.27
Mumbai,2021-Q2,120.52,121.27,21841.45,2.25,2.27,5.39,5.49
Mumbai,2021-Q3,123.78,124.5,22402.69,2.7,2.66,9.24,9.24
Mumbai,2021-Q4,127.96,128.64,23121.49,3.38,3.33,10.58,10.33
Mumbai,2022-Q1,132.29,133.19,23865.7,3.38,3.54,12.23,12.32
Mumbai,2022-Q2,135.4,136.43,24397.92,2.35,2.43,12.35,12.5
Mumbai,2022-Q3,139.5,140.53,25099.24,3.03,3.01,12.7,12.88
Mumbai,2022-Q4,144.1,145.78,25885.58,3.3,3.74,12.61,13.32
Mumbai,2023-Q1,146.85,148.82,26356.28,1.91,2.09,11.01,11.74
Mumbai,2023-Q2,149.29,151.85,26772.43,1.66,2.04,10.26,11.3
Mumbai,2023-Q3,151.72,154.76,27186.45,1.63,1.92,8.76,10.13
Mumbai,2023-Q4,154.71,157.52,27693.9,1.97,1.78,7.36,8.05
Mumbai,2024-Q1,157.61,160.48,28187.35,1.87,1.88,7.33,7.83
Mumbai,2024-Q2,160.87,163.65,28741.8,2.07,1.98,7.76,7.77
Mumbai,2024-Q3,164.14,167.05,29296.19,2.03,2.08,8.19,7.94
Mumbai,2024-Q4,166.28,169.91,29660.31,1.3,1.71,7.48,7.87
Mumbai,2025-Q1,169.23,172.84,30159.93,1.77,1.72,7.37,7.7
Mumbai,2025-Q2,172.39,176.59,30694.35,1.87,2.17,7.16,7.91
Mumbai,2025-Q3,175.84,180.39,31278.41,2.0,2.15,7.13,7.99
Mumbai,2025-Q4,179.55,183.94,31905.5,2.11,1.97,7.98,8.26
Mumbai,2026-Q1,183.17,187.34,32515.26,2.02,1.85,8.24,8.39
Pune,2018-Q1,101.0,100.5,5900.0,0.0,0.0,0.0,0.0
Pune,2018-Q2,102.98,102.33,6009.77,1.96,1.82,0.0,0.0
Pune,2018-Q3,104.83,104.21,6112.18,1.8,1.84,0.0,0.0
Pune,2018-Q4,106.47,105.86,6203.25,1.56,1.58,0.0,0.0
Pune,2019-Q1,108.58,108.13,6319.91,1.98,2.14,7.5,7.59
Pune,2019-Q2,110.07,109.71,6402.27,1.37,1.46,6.88,7.21
Pune,2019-Q3,111.75,111.17,6495.48,1.53,1.33,6.6,6.68
Pune,2019-Q4,113.94,113.51,6616.22,1.96,2.1,7.02,7.23
Pune,2020-Q1,115.76,115.22,6716.68,1.6,1.51,6.61,6.56
Pune,2020-Q2,115.0,114.63,6674.51,-0.66,-0.51,4.48,4.48
Pune,2020-Q3,114.46,114.12,6645.23,-0.47,-0.44,2.43,2.65
Pune,2020-Q4,116.8,116.53,6774.01,2.04,2.11,2.51,2.66
Pune,2021-Q1,119.05,119.07,6897.74,1.93,2.18,2.84,3.34
Pune,2021-Q2,121.7,121.68,7044.02,2.23,2.19,5.83,6.15
Pune,2021-Q3,124.91,124.88,7220.41,2.64,2.63,9.13,9.43
Pune,2021-Q4,128.3,128.46,7406.77,2.71,2.87,9.85,10.24
Pune,2022-Q1,132.42,133.01,7632.65,3.21,3.54,11.23,11.71
Pune,2022-Q2,136.62,136.97,7862.6,3.17,2.98,12.26,12.57
Pune,2022-Q3,140.92,141.75,8097.77,3.15,3.49,12.82,13.51
Pune,2022-Q4,145.55,147.13,8350.27,3.29,3.8,13.45,14.53
Pune,2023-Q1,148.9,150.56,8532.82,2.3,2.33,12.45,13.19
Pune,2023-Q2,152.13,154.46,8708.49,2.17,2.59,11.35,12.77
Pune,2023-Q3,155.02,157.27,8865.77,1.9,1.82,10.01,10.95
Pune,2023-Q4,158.19,160.33,9038.02,2.04,1.95,8.68,8.97
Pune,2024-Q1,160.9,163.6,9185.39,1.71,2.04,8.06,8.66
Pune,2024-Q2,162.99,165.44,9298.4,1.3,1.12,7.14,7.11
Pune,2024-Q3,165.83,168.45,9452.26,1.74,1.82,6.97,7.11
Pune,2024-Q4,168.65,171.46,9605.35,1.7,1.79,6.61,6.94
Pune,2025-Q1,171.85,174.84,9778.19,1.9,1.97,6.81,6.87
Pune,2025-Q2,175.27,178.04,9962.92,1.99,1.83,7.53,7.62
Pune,2025-Q3,178.59,181.93,10142.57,1.89,2.18,7.69,8.0
Pune,2025-Q4,182.32,186.5,10343.73,2.09,2.51,8.11,8.77
Pune,2026-Q1,186.87,191.99,10589.03,2.5,2.94,8.74,9.81
