rera_id,developer,project_name,city,locality,project_status,project_start_date,project_completion_date,total_units,sold_units,unsold_units
RERA-TNR-42885301,Ambient,Apts,Chennai,Kolathur,Completed,2016-05-15,2019-10-15,236,207,29
RERA-TNR-56743215,MP,Tilda,Chennai,Kundrathur,Completed,2017-07-15,2020-11-15,482,371,111
RERA-TNR-11200937,Embassy,Residency,Chennai,Perumbakkam,Completed,2018-09-15,2022-07-15,341,296,45
RERA-TNR-29269550,AVR,Coasta,Chennai,Mogappair,Completed,2019-09-15,2024-01-15,326,176,150
RERA-TNR-21336382,Sri,Chakra Flats,Chennai,Kk Nagar,Completed,2018-09-15,2023-06-15,260,195,65
RERA-TNR-20715085,Krishna,Apartment,Chennai,Ambattur,Completed,2020-03-15,2023-12-15,149,67,82
RERA-TNR-07992451,Akay,Flats,Chennai,Kelambakkam,Completed,2017-05-15,2019-06-15,455,277,178
RERA-TNR-74117619,Plaza,Pristine Acres Phase 2,Chennai,Perumbakkam,Ongoing,2022-02-15,2026-07-15,498,303,195
RERA-TNR-10870615,Jain,Sukriti,Chennai,Ambattur Industrial Estate,Completed,2020-02-15,2023-03-15,268,195,73
RERA-TNR-62515183,Adithi,Homes,Chennai,Maduravoyal,Completed,2015-07-15,2019-12-15,266,196,70
RERA-TNR-44276513,Golden,Treasure,Chennai,Maduravoyal,Completed,2015-02-15,2018-01-15,317,126,191
RERA-TNR-71166606,Ozone,Greens,Chennai,Medavakkam,Completed,2019-08-15,2022-01-15,337,155,182
RERA-TNR-46678474,SRN,Flat,Chennai,Kodambakkam,Completed,2018-01-15,2021-04-15,437,192,245
RERA-TNR-77669653,Sterling,Bhandari,Chennai,Kattupakkam,Completed,2017-12-15,2021-05-15,362,314,48
RERA-TNR-11714972,Blossom,Apartment,Chennai,St Thomas Mount,Completed,2017-11-15,2021-02-15,68,57,11
RERA-TNR-35145558,Saradeuz,Acropolis,Chennai,Sithalapakkam,Completed,2017-01-15,2019-04-15,489,303,186
RERA-TNR-80667457,Saideep,Residency,Chennai,Koyambedu,Completed,2019-05-15,2024-03-15,53,41,12
RERA-TNR-84781540,Optima,Upgrade,Chennai,Avadi,Completed,2019-01-15,2021-10-15,371,152,219
RERA-TNR-34371070,Sudharshan,Homes,Chennai,Velachery,Completed,2017-09-15,2020-06-15,377,260,117
RERA-TNR-28654290,Krishna,Flats,Chennai,Virugambakkam,Completed,2019-04-15,2022-09-15,484,401,83
RERA-TNR-35292165,Vijay,Raja Classic,Chennai,Kolapakkam - Vandalur,Completed,2018-10-15,2023-04-15,386,227,159
RERA-TNR-13458429,Newry,Triton,Chennai,Avadi,Completed,2016-09-15,2021-09-15,150,99,51
RERA-TNR-12636944,Signet,Shalom,Chennai,Kodambakkam,Ongoing,2021-09-15,2025-08-15,144,108,36
RERA-TNR-74717661,Sai,Empire Villas,Chennai,Karanai Puthuchery,Completed,2016-01-15,2019-11-15,430,189,241
RERA-TNR-41754265,SBN,Sree Bhoomi Neela Enclave,Chennai,Siruseri,Completed,2017-10-15,2022-05-15,379,337,42
RERA-TNR-20993984,Narmada,Apartment,Chennai,Anna Nagar,Completed,2019-08-15,2023-12-15,342,208,134
RERA-TNR-46565661,Srikaram,Shubhadhi,Chennai,Senganmal,Completed,2017-02-15,2020-09-15,70,49,21
RERA-TNR-11314000,Vaikund,Sundaram by Vaikund Estates,Chennai,Karapakkam,Completed,2015-09-15,2019-04-15,132,87,45
RERA-TNR-88682329,Casagrand,Castle,Chennai,Kolapakkam,Completed,2019-12-15,2022-05-15,226,162,64
RERA-TNR-85841502,The,Nest Njoy,Chennai,Kanathur Reddikuppam,Completed,2018-05-15,2020-12-15,310,226,84
RERA-TNR-60267813,Viswak,Meadow Lands,Chennai,Maduravoyal,Completed,2019-11-15,2022-06-15,265,185,80
RERA-TNR-61895750,Arun Excello,Compact Homes Sankara,Chennai,Mambakkam-Chengalpattu,Completed,2016-12-15,2019-06-15,483,391,92
RERA-TNR-76575297,XS,Real En Veedu,Chennai,Perumanttunallur,Completed,2018-02-15,2021-09-15,422,320,102
RERA-TNR-45229647,Radiance,Ivy Terrace,Chennai,Egattur,Completed,2021-01-15,2024-08-15,142,75,67
RERA-TNR-48708670,Jain,Jains Anumita,Chennai,Perungudi,Completed,2016-10-15,2021-02-15,344,161,183
RERA-TNR-09718672,Hansa,Pearl,Chennai,Bharathi Nagar,Completed,2019-12-15,2023-01-15,124,59,65
RERA-TNR-37657975,Casa,Grande Miro,Chennai,Adhanur,Completed,2018-12-15,2022-02-15,144,129,15
RERA-TNR-25320168,DABC,Freesia Garden,Chennai,Ponmar,Completed,2018-11-15,2022-11-15,339,196,143
RERA-TNR-84515151,VGN,Imperia,Chennai,Thiruverkkadu,Completed,2018-04-15,2021-10-15,130,107,23
RERA-TNR-36217441,Dream,Veppampattu Villas,Chennai,Veppampattu,Completed,2017-01-15,2021-09-15,391,312,79
RERA-TNR-19079769,Kala,Flats,Chennai,Kk Nagar,Completed,2019-11-15,2023-03-15,494,375,119
RERA-TNR-99410106,JS,Guduvancherry KJ Nagar,Chennai,Madambakkam,Completed,2017-01-15,2021-02-15,204,120,84
RERA-TNR-50301105,PS,Nexterra,Chennai,Sithalapakkam,Completed,2020-04-15,2023-01-15,255,127,128
RERA-TNR-23600840,Appaswamy,Mapleton,Chennai,Pallikaranai,Completed,2017-10-15,2021-12-15,490,245,245
RERA-TNR-44069119,Mahalakshmi,Subramani Apartments,Chennai,Saidapet,Completed,2016-06-15,2018-10-15,307,239,68
RERA-TNR-57496771,Viva,City,Chennai,Iyyapa Nagar,Completed,2018-09-15,2021-08-15,172,129,43
RERA-TNR-70702973,Tulip,Apartment,Chennai,Nungambakkam,Completed,2018-12-15,2023-11-15,71,57,14
RERA-TNR-14896594,Visoka,Aakaash,Chennai,Pozhichalur,Completed,2016-12-15,2019-10-15,160,124,36
RERA-TNR-58195837,S,Promoters Avadi,Chennai,Avadi,Completed,2017-10-15,2020-05-15,455,282,173
RERA-TNR-51880227,Man,Pearl Reside,Chennai,Choolaimedu,Completed,2018-07-15,2022-01-15,230,142,88
RERA-TNR-40300812,VGN,Dynasty,Chennai,Avadi,Completed,2019-05-15,2024-02-15,307,260,47
RERA-TNR-59657129,Casagrand,Bellissimo,Chennai,Pazhavanthangal,Completed,2016-08-15,2021-06-15,262,199,63
RERA-TNR-91099185,Sembakkam,Village,Chennai,Sembakkam,Completed,2019-01-15,2021-06-15,439,351,88
RERA-TNR-68942131,Guru,Royal Palace Apartments,Chennai,Madipakkam,Completed,2015-07-15,2020-03-15,278,247,31
RERA-TNR-24857534,Jaya,Jayaswathy Prasanna Lakshmi Flats,Chennai,Villivakkam,Completed,2016-09-15,2020-09-15,94,81,13
RERA-TNR-08573099,Akshaya,Level Up,Chennai,Nungambakkam,Completed,2020-09-15,2024-03-15,214,141,73
RERA-TNR-90461539,Avigna,Celeste,Chennai,Mahindra World City,Completed,2017-04-15,2021-02-15,129,56,73
RERA-TNR-93337199,Shamim,Foundations Gandhinagar,Chennai,Urapakkam,Completed,2015-11-15,2020-06-15,244,156,88
RERA-TNR-89051334,Manju,Green Spot Thiruninravur,Chennai,Thirunindravur,Completed,2019-02-15,2021-06-15,354,279,75
RERA-TNR-27032949,Sri,SDB Shubham,Chennai,Rajakilpakkam,Completed,2019-06-15,2022-10-15,354,180,174
RERA-TNR-17819846,Prince,Ratnapuri Garden Residency,Chennai,George Town,Completed,2019-12-15,2022-04-15,143,107,36
RERA-TNR-65108965,DHS,Pioni,Chennai,Perumbakkam,Completed,2015-10-15,2019-08-15,224,185,39
RERA-TNR-59748581,Navin,South Terrace,Chennai,Choolaimedu,Completed,2019-06-15,2023-04-15,241,137,104
RERA-TNR-24193774,Madras,Golden Paradise,Chennai,Tharapakkam,Completed,2019-12-15,2023-11-15,212,95,117
RERA-TNR-53948257,XS,Real Vibe,Chennai,Pallikaranai,Completed,2016-01-15,2019-04-15,336,208,128
RERA-TNR-85801007,Sekaran,Grandium,Chennai,Perumbakkam,Completed,2019-10-15,2023-09-15,366,226,140
RERA-TNR-31452794,Vijayalakshmi,Flats,Chennai,Nanmangalam,Completed,2018-01-15,2021-12-15,458,283,175
RERA-TNR-88985380,Casa,Grande Novus,Chennai,Cit Nagar,Completed,2018-04-15,2021-08-15,219,162,57
RERA-TNR-09304923,XS,Real Symphony,Chennai,Padur,Completed,2017-06-15,2019-07-15,468,280,188
RERA-TNR-46695497,Alraza,Primrose Apartments,Chennai,Thiruverkkadu,Completed,2017-10-15,2021-04-15,398,246,152
RERA-TNR-48176349,Praney,Square,Chennai,Thiruthavali,Completed,2017-07-15,2020-04-15,485,373,112
RERA-TNR-12300682,MAV,ROYAL SQUARE,Chennai,Sembakkam,Completed,2019-05-15,2022-01-15,223,149,74
RERA-TNR-81271381,Jayanthi,Flats,Chennai,Perumbakkam,Completed,2018-08-15,2020-11-15,496,391,105
RERA-TNR-03946069,Asset,Dev,Chennai,Pammal,Completed,2020-02-15,2024-01-15,221,88,133
RERA-TNR-83414122,Oliyas,Green Court,Chennai,Medavakkam,Completed,2020-03-15,2024-02-15,98,47,51
RERA-TNR-72378829,Golden,Jubilee Apartment,Chennai,Anna Nagar West,Completed,2017-01-15,2019-05-15,338,219,119
RERA-TNR-01657531,Signature,Oaklyn,Chennai,Gerugambakkam,Completed,2019-02-15,2021-05-15,494,301,193
RERA-TNR-15555822,Jain,West Minster,Chennai,Saligramam,Completed,2018-02-15,2020-09-15,204,99,105
RERA-TNR-16599864,Casagrand,Miro,Chennai,Adhanur,Completed,2016-10-15,2019-06-15,372,241,131
RERA-TNR-31615323,Jadhav,Jain Atisaya,Chennai,Kodambakkam,Completed,2019-05-15,2021-05-15,166,106,60
RERA-TNR-61990014,Sankar,Yatra 2,Chennai,Iyyappanthangal,Completed,2017-12-15,2020-07-15,79,54,25
RERA-TNR-33454577,Sai,Enclave,Chennai,Saligramam,Completed,2020-02-15,2024-02-15,327,189,138
RERA-TNR-63296932,Sai,Sagar APPARTMENT,Chennai,Sembakkam,Completed,2019-03-15,2021-03-15,406,328,78
RERA-TNR-61559671,Sumanth,Sreshta Leela,Chennai,Adyar,Completed,2017-05-15,2021-05-15,275,159,116
RERA-TNR-57454860,RKN,KPS Flats,Chennai,Maduravoyal,Completed,2016-12-15,2019-03-15,171,112,59
RERA-TNR-91324554,Marutham,Classic,Chennai,Urapakkam,Completed,2016-04-15,2019-02-15,497,233,264
RERA-TNR-52924888,Geetham,Heritage,Chennai,Thiruverkkadu,Completed,2020-01-15,2024-04-15,396,198,198
RERA-TNR-79205875,Macro,Jus,Chennai,Mylapore,Completed,2017-09-15,2021-11-15,118,49,69
RERA-TNR-60334298,ETA,Jasmine Court,Chennai,Kattupakkam,Completed,2020-03-15,2022-06-15,285,205,80
RERA-TNR-78137580,VGN,LA PARISIENNE,Chennai,Ambattur Industrial Estate,Completed,2020-02-15,2022-04-15,157,91,66
RERA-TNR-42755877,Euro,Flats,Chennai,Kotturpuram,Completed,2020-01-15,2024-05-15,482,241,241
RERA-TNR-88906865,Mahalakshmi,Apartments,Chennai,Madipakkam,Completed,2018-11-15,2023-04-15,234,163,71
RERA-TNR-12383138,Jeayam,Radha,Chennai,Korattur,Completed,2018-04-15,2020-11-15,388,322,66
RERA-TNR-06121383,Shirdi,Shelters Whitefield Apartment,Chennai,Medavakkam,Completed,2019-05-15,2023-05-15,103,84,19
RERA-TNR-15451198,Shree,Seema Flats,Chennai,Maduravoyal,Completed,2020-02-15,2024-11-15,293,213,80
RERA-TNR-80721126,KG,eyes Samyuktha by Kgeyes Residency,Chennai,Madambakkam,Completed,2020-03-15,2023-12-15,407,231,176
RERA-TNR-57222609,Embassy,Residency Phase 2,Chennai,Perumbakkam,Completed,2017-02-15,2021-10-15,452,275,177
RERA-TNR-65818904,Vishwakarma,Sky Park,Chennai,Chromepet,Completed,2016-01-15,2019-05-15,250,200,50
RERA-TNR-19323416,ETA,Rosedale,Chennai,Padur,Completed,2017-10-15,2022-09-15,137,101,36
RERA-TNR-50045614,VGN,Orville,Chennai,Kolapakkam,Completed,2021-07-15,2024-03-15,151,129,22
RERA-TNR-36411392,Sobha,Meritta,Chennai,Pudupakkam,Completed,2017-06-15,2020-12-15,93,61,32
RERA-TNR-40785462,RRDH,Hibiscus F Block,Chennai,Thoraipakkam,Completed,2019-01-15,2021-04-15,367,304,63
RERA-TNR-94020406,Narendra,NPL Agastya,Chennai,Tondiarpet,Completed,2018-03-15,2022-08-15,377,305,72
RERA-TNR-95331297,Kailash,Flats,Chennai,Pallavaram,Completed,2016-01-15,2019-05-15,154,95,59
RERA-TNR-21930192,Sri,Rama Nivas,Chennai,West Mambalam,Completed,2017-01-15,2020-04-15,128,52,76
RERA-TNR-17049233,Dakshin,Dhara,Chennai,Iyyappanthangal,Completed,2018-02-15,2020-05-15,321,138,183
RERA-TNR-97892014,KG,eyes Apoorvaa by Kgeyes Residency,Chennai,Ambattur Industrial Estate,Completed,2020-07-15,2022-11-15,166,127,39
RERA-TNR-95660334,Radiance,Shine,Chennai,Kalipathur,Completed,2018-07-15,2022-02-15,487,258,229
RERA-TNR-58546270,Pa,Towers,Chennai,Egmore,Completed,2018-04-15,2022-02-15,313,175,138
RERA-TNR-47859928,Casagrand,Smart Town,Chennai,Semmancheri,Completed,2019-07-15,2023-01-15,409,351,58
RERA-TNR-21236111,Mahindra,Iris Court,Chennai,Chettipunyam,Completed,2017-08-15,2020-01-15,217,99,118
RERA-TNR-56011428,Vijayalakshmi,Viji Homes,Chennai,Urapakkam,Completed,2016-04-15,2018-06-15,459,353,106
RERA-TNR-15725930,Sara,Lotus by Sara Homes,Chennai,Thiruporur,Completed,2017-04-15,2020-08-15,164,111,53
RERA-TNR-91123728,Appaswamy,Arcot Terrace,Chennai,Vadapalani,Completed,2018-11-15,2021-10-15,170,103,67
RERA-TNR-19220745,Real,Value Neelkamal,Chennai,Kalipathur,Ongoing,2022-01-15,2025-05-15,107,47,60
RERA-TNR-61145041,COLTS,VIEW APARTMENTS,Chennai,Guindy,Completed,2018-02-15,2022-12-15,434,186,248
RERA-TNR-11084574,Amarprakash,Palm Riviera,Chennai,Thirumudivakkam,Completed,2015-12-15,2019-11-15,393,271,122
RERA-TNR-94977547,DLF,Commanders Court,Chennai,Egmore,Completed,2018-01-15,2022-12-15,194,79,115
RERA-TNR-77408311,Vijay,Shanthi Lotus Pond,Chennai,Kalavakkam,Completed,2015-04-15,2017-05-15,75,39,36
RERA-TNR-96356171,Sugandha,Apartment,Chennai,Pallikaranai,Completed,2020-01-15,2022-03-15,239,148,91
RERA-TNR-72265417,Swarna,Lakshmi by Swarna Construction,Chennai,Arumbakkam,Ongoing,2020-06-15,2025-06-15,294,132,162
RERA-TNR-79908451,Radiance,Icon,Chennai,Koyambedu,Completed,2017-01-15,2020-06-15,373,197,176
RERA-TNR-07933596,Nakar,Navkar Residency by Nakar Homes,Chennai,Washermanpet,Completed,2018-06-15,2023-06-15,79,61,18
RERA-TNR-69380574,Aakam,Courtyard Hygrevar,Chennai,Chettipunyam,Completed,2019-11-15,2022-01-15,426,285,141
RERA-TNR-59189554,Jamals,Luxor,Chennai,Jeevan Prakash Nagar,Completed,2016-04-15,2019-11-15,159,74,85
RERA-TNR-56486142,Shamrock,Apartment,Chennai,Santhome,Completed,2016-01-15,2019-07-15,98,60,38
RERA-TNR-75580324,TVH,Svasti,Chennai,Thoraipakkam,Completed,2018-07-15,2022-11-15,498,278,220
RERA-TNR-07908477,Suraj,Enclave - 2,Chennai,West Tambaram,Completed,2019-03-15,2023-09-15,204,183,21
